Start Timestamp;End Timestamp;Transcript
00:00;00:02;"So why does Pythonic code matter?"
00:02;00:03;"Why do you care about this?"
00:03;00:05;"Well, when you're writing Pythonic code,"
00:05;00:09;"you're leveraging over 30 years of experience"
00:09;00:12;"of millions of Python developers,"
00:12;00:14;"and probably thousands of them"
00:14;00:16;"who have contributed back to the language,"
00:16;00:21;"to the runtime, to the core packages on package managers,"
00:21;00:23;"such as pypi.org."
00:23;00:26;"So you're really taking all these ideas"
00:26;00:29;"that have been polished to perfection."
00:29;00:31;"And near perfection over time,"
00:31;00:34;"through all this work that people have been doing,"
00:34;00:36;"and making that part of your style,"
00:36;00:38;"right when you get into Python."
00:38;00:42;"The CPython runtime itself is built in a way"
00:42;00:46;"that it expects to run code like you're writing"
00:46;00:47;"when you write Pythonic code."
00:47;00:49;"And if you go against those idioms,"
00:49;00:52;"you may well be going against performance optimizations"
00:52;00:54;"of the CPython runtime."
00:54;00:58;"And of course, CPython is the most common way"
00:58;01:00;"that people run Python by a huge margin."
01:00;01:05;"It's also easy for other people to read your code,"
01:05;01:07;"or even as you evolve as a developer,"
01:07;01:09;"to go back and read your own code."
01:09;01:11;"So if you work on a team,"
01:11;01:13;"people on your team can say,"
01:13;01:17;"""I love working with your code because it's natural to me."""
01:17;01:18;"And why is it natural?"
01:18;01:20;"'Cause it's what they expect."
01:20;01:21;"It's Pythonic."
01:21;01:24;"It's often cleaner and simpler."
01:24;01:26;"When people come from other languages,"
01:26;01:27;"they might bring those idioms"
01:27;01:30;"or those styles of working from their language,"
01:30;01:32;"learn just enough Python to get it to work,"
01:32;01:35;"and then do that in Python."
01:35;01:40;"And often, Python has way, way simpler ways to do things."
01:40;01:43;"There's all sorts of examples"
01:43;01:45;"we're gonna see through this course where you're like,"
01:45;01:47;"""Oh, is that only three lines of code?"
01:47;01:49;"""It seems like it would have been more."""
01:49;01:51;"And that's because Python has built-in ways"
01:51;01:52;"that make things simpler."
01:52;01:53;"But if you don't use them,"
01:53;01:57;"if you don't use the idiomatic style for that thing,"
01:57;01:59;"well, it's gonna be less simple."
01:59;02:03;"Also, just like making your code easy to read"
02:03;02:05;"and be understood by your teammates,"
02:05;02:07;"if you're working on open-source projects"
02:07;02:09;"or contributing to open-source,"
02:09;02:12;"people in that project are obviously gonna be more likely"
02:12;02:16;"to appreciate your code and to understand what you've done"
02:16;02:18;"and feel like it's natural to them,"
02:18;02:20;"either when you're contributing a PR"
02:20;02:21;"or if it's your project"
02:21;02:24;"and people are contributing to it."
02:24;02:28;"Finally, it's easier to onboard new software developers"
02:28;02:30;"who are already experienced with Python,"
02:30;02:33;"but maybe not your company, your project, your app."
02:33;02:36;"When they come on, you don't have to explain to them,"
02:36;02:38;"""Well, in our world, these are the four things"
02:38;02:40;"""that we do around naming variables"
02:40;02:42;"""and doing this for loops,"
02:42;02:45;"""and we do that for classes,"" and so on."
02:45;02:47;"If you write the code that is Pythonic,"
02:47;02:50;"people are already going to expect it to be that way,"
02:50;02:53;"so they'll be super comfortable when they get in there."
02:53;02:55;"This is just some of the reasons"
02:55;02:58;"that you might care about writing Pythonic code,"
02:58;03:02;"and I think you'll just be a happier developer overall"
03:02;03:05;"as you go through your Python journey"
03:05;03:07;"because you're going to encounter code"
03:07;03:10;"that is written in this way over and over and over again,"
03:10;03:12;"and if you make it yours and you make it your primary way,"
03:12;03:13;"you're gonna feel super natural,"
03:13;03:15;"and if you fight against it,"
03:15;03:18;"say, ""Oh, I don't wanna adopt this pattern or that pattern,"""
03:18;03:21;"you're gonna be kind of hitting those rough edges"
03:21;03:22;"over and over again"
03:22;03:24;"as you interact with different libraries."
