Start Timestamp;End Timestamp;Transcript
00:00;00:03;"All right, let's spend just a moment talking about what we're going to cover and how all"
00:03;00:05;"these things fit together."
00:05;00:10;"We're going to start by covering what's called PEP 8 and some of the foundational ideas for"
00:10;00:12;"how we write idiomatic Python code."
00:12;00:20;"PEP 8, or Python Enhancement Proposal 8, is a document created quite a while ago that"
00:20;00:26;"lays out how Python developers expect their code to be formatted."
00:26;00:33;"What kind of casing do we use for variables versus classes versus methods and functions?"
00:33;00:38;"What do we do with our spacing between, say, two functions that are in the same file?"
00:38;00:40;"All of that kind of stuff."
00:40;00:42;"How many lines should be in that file?"
00:42;00:48;"That's PEP 8, and while it is a great foundation, it is a really small part of what I believe"
00:48;00:50;"makes up idiomatic Python code."
00:50;00:53;"So that's why there's a whole lot more to this course."
00:53;00:56;"We're just going to start here, 15 minutes or something, we'll be talking about these"
00:56;00:59;"types of ideas, and then we'll move over to dictionaries."
00:59;01:04;"It seems like maybe a little specific for its own chapter, its own topic, but dictionaries"
01:04;01:06;"are everywhere in Python."
01:06;01:08;"They are the backing store for classes."
01:08;01:14;"They come out of databases or potentially out of CSVs if you're reading them."
01:14;01:18;"Whenever you're talking to an API, you're working with dictionaries at some point with"
01:18;01:21;"JSON most likely, maybe not directly."
01:21;01:25;"You might be using Pydantic or something, but somewhere in the intermediate process"
01:25;01:26;"and dictionaries are there."
01:26;01:31;"They're everywhere, so we're going to make sure we cover them well in Python."
01:31;01:36;"Related to that is maybe the more general idea of collections, so lists, sets, and other"
01:36;01:42;"things, but also we're going to talk about what are called comprehensions, list comprehensions,"
01:42;01:47;"dictionary comprehensions, and so on, and generators, which provide a memory-efficient"
01:47;01:53;"way to access collections and data and even create it on the fly."
01:53;01:58;"Functions and methods, methods just being functions on classes, they're very interesting."
01:58;02:01;"Python in some ways is limited with its functions."
02:01;02:05;"It doesn't have things like overloading by type, right?"
02:05;02:08;"Like you can't say this one is the one that runs if they pass an integer, and this other"
02:08;02:12;"function, completely different, is the one that runs if they pass a string instead."
02:12;02:15;"Like some languages have that."
02:15;02:19;"One might seem limited, a little bit weak at first glance, but in fact, there's a lot"
02:19;02:28;"of cool things we can do that are Pythonic that make those types of patterns largely"
02:28;02:29;"not necessary."
02:29;02:34;"One of the powers of Python is it's over half a million external packages that you can use"
02:34;02:38;"to click together Lego-style to do amazing things."
02:38;02:42;"We're going to talk about how do you work with modules out of the standard library,"
02:42;02:46;"how do you work with external packages, what is the formatting rules, and how do you bring"
02:46;02:49;"those into your code."
02:49;02:54;"Classes and objects, object-oriented programming is still super important in Python."
02:54;03:00;"It's not as front and center as, say, C# or Java or even C++, but still, you'll run into"
03:00;03:03;"classes and objects in your Python journey."
03:03;03:04;"You'll want to know how to create them."
03:04;03:08;"You'll want to know how to work with them properly."
03:08;03:10;"Python is special in its loops."
03:10;03:15;"It has really cool ways to work with loops, but they're not necessarily obvious at first,"
03:15;03:21;"like how do I go for i equals 1 to dot dot dot to 20?"
03:21;03:25;"That's a little bit tricky if you're brand new, because there's not such a numerical"
03:25;03:28;"for loop, for example, in Python, not directly."
03:28;03:32;"We're going to talk about loops, and we're also going to talk about tuples, which give"
03:32;03:35;"us some really cool features of loops, actually."
03:35;03:42;"Tuples being heterogeneous groups of data, like first name, last name, and phone number,"
03:42;03:44;"something like that, potentially."
03:44;03:48;"You don't want to go to all the trouble to create a class and model the data."
03:48;03:50;"You're just going to create one of these little lightweight tuples."
03:50;03:55;"We're going to talk about that, and maybe other alternatives to tuples as well."
03:55;04:00;"Back in Python 3.5, type hints or optional typing was added to Python, and since then,"
04:00;04:02;"a bunch of cool things have grown out of it."
04:02;04:07;"Like FastAPI and Pydantic and many, many others."
04:07;04:11;"So we're going to talk about when to use types in your program, when not to, what are the"
04:11;04:16;"advantages, if there's choices, which one should you use at that moment."
04:16;04:20;"Finally, we'll close out the course with asynchronous programming."
04:20;04:24;"Python has some really cool built-in ways to do amazing stuff when you're working with"
04:24;04:30;"I/O and other blocking behaviors, and we'll even talk a bit about the future, where maybe"
04:30;04:33;"Python has computational parallelism as well."
04:33;04:36;"So this is not even all of it, folks."
04:36;04:42;"There's so much more we could put in here to cover, but we've got to kind of limit it"
04:42;04:43;"somewhere."
04:43;04:44;"We can't just be completely comprehensive."
04:44;04:46;"That would be way, way too much to cover."
04:46;04:50;"So these are the important ideas that I thought we should talk about to cover this idea of"
04:50;04:51;"Pythonic code."
04:51;04:56;"It's going to be super fun, and you're going to see a ton of examples of both good code"
04:56;04:57;"and bad code written around these ideas."
