Start Timestamp;End Timestamp;Transcript
00:00;00:04;"In this course, I assume that you already know Python."
00:04;00:06;"Not necessarily very well."
00:06;00:12;"We're not going to go and go do crazy metaprogramming and all sorts of advanced stuff like that."
00:12;00:17;"But I'm assuming that you do have some basic knowledge with Python"
00:17;00:21;"because we're going to focus on what is the idiomatic way."
00:21;00:24;"Like you know how to do certain things in Python."
00:24;00:25;"You know how to create a function."
00:25;00:31;"But what is the right way to add this feature or that feature to that function?"
00:31;00:35;"If you really need to start from scratch and you're brand, brand new from Python,"
00:35;00:39;"please consider taking this other course, talkpython.fm/beginner."
00:39;00:42;"This is our Python for the absolute beginner course,"
00:42;00:45;"which is not nearly as beginner as that name would make it sound."
00:45;00:47;"It goes quite deep by the end."
00:47;00:49;"But this one starts from scratch."
00:49;00:51;"Assumes you don't have that CS degree."
00:51;00:56;"You're not yet a programmer and we'll teach you all the things of the how of Python."
00:56;00:57;"Like how do you create functions?"
00:57;00:58;"What is a class?"
00:58;00:59;"How do you create it?"
00:59;01:00;"And so on."
01:00;01:02;"Rather than what are the best way to use classes"
01:02;01:05;"and what are these variations for functions and when to use which."
01:05;01:10;"So if you do need to learn Python, this is the best place to start."
