Start Timestamp;End Timestamp;Transcript
00:00;00:04;"Now that you know about the course, let me tell you just super quickly about me."
00:04;00:08;"Hey there, I'm Michael Kennedy. Awesome to meet you."
00:08;00:12;"Super excellent to have you in this course with me. We're going to have a lot of fun together."
00:12;00:16;"If you want to know more about me in particular, my website, my sort of"
00:16;00:20;"hub on the internet is at mkennedy.codes. You can check that out. It's got links"
00:20;00:24;"to many places over there, like my GitHub for example."
00:24;00:28;"I'm the founder and host of Talk Python to Me, the co-host of the Python Bytes podcast,"
00:28;00:32;"the founder and one of the principal authors here at Talk Python Training,"
00:32;00:36;"and I'm also a Python Software Foundation fellow"
00:36;00:40;"or a PSF fellow. The best place to talk to me online is"
00:40;00:44;"over on Mastodon, where I'm this address, this account name"
00:44;00:48;"at fossadon.org, but you can also find me on X, where I'm"
00:48;00:50;"also at mkennedy there."
