Start Timestamp;End Timestamp;Transcript
00:00;00:02;"Do we need Python 3.13 to be Pythonic?"
00:02;00:05;"No, you can run an older version of Python."
00:05;00:10;"3.12, 3.11, something like that is probably a good place to be."
00:10;00:12;"But don't get too old."
00:12;00:14;"Python 3.7 is no longer supported,"
00:14;00:18;"and very, very soon 3.8 is gonna be no supported, not supported,"
00:18;00:20;"and you might watch this course a year or two from now,"
00:20;00:25;"in which case, two more versions, like 3.10 would be no longer supported."
00:25;00:29;"So don't wait too long to make sure you're on a recent version."
00:29;00:32;"I do want to put a stake in the ground and say,"
00:32;00:35;"no matter what, it is deeply un-Pythonic."
00:35;00:39;"It is deeply not a good idea to run Python 2."
00:39;00:44;"Way, way back in 2016, I think this is from Guido von Rossum,"
00:44;00:47;"the guy at the time in charge of Python, the creator of Python,"
00:47;00:50;"said there will never, ever be a Python 2.8."
00:50;00:54;"Well, here we are, eight years later, there's not a Python 2.8."
00:54;00:58;"There's no more place for Python 2.0 in the Python world."
00:58;01:02;"So if for some odd reason you're in a place where you guys are using Python 2,"
01:02;01:06;"run, don't walk to Python 3.10 or later, okay?"
