Start Timestamp;End Timestamp;Transcript
00:00;00:07;"Let's kick off the course proper by talking about PEP 8 and related items."
00:07;00:13;"So PEP 8 is a document that describes exactly what the Python core developers consider Pythonic."
00:13;00:17;"It's quite limited. It doesn't try to cover everything."
00:17;00:21;"It covers a couple of specific things that we're going to focus on."
00:21;00:28;"But you might ask yourself the question, well, more broadly, who gets to decide what is Pythonic?"
00:28;00:31;"This idiomatic Python code."
00:31;00:38;"Should the core developers say, well, there's only a handful of them versus literally millions of other developers."
00:38;00:44;"So who all gets to participate in this conversation of determining Pythonic code?"
00:44;00:48;"Well, first of all, the community also has a really big say."
00:48;00:55;"Not in a direct submission sort of thing, but just by talking about Python and bouncing ideas off each other."
00:55;01:02;"For example, here's a Stack Overflow post where somebody is saying there's this abomination in Java"
01:02;01:09;"where you could do an iteration over some kind of thing that looks like a numerical for loop."
01:09;01:13;"I don't know why those got to combine. I could just do a numerical for loop."
01:13;01:16;"Anyway, they're like, no, no, no, let's not do this."
01:16;01:21;"So in Python, we try to make things clearer and the post goes on to talk about that."
01:21;01:23;"So one is the community."
01:23;01:27;"Another you'll hear spoken about often is the Zen of Python."
01:27;01:34;"So if you open up your Python REPL and you just type import this, this is what you get."
01:34;01:39;"There's a bunch of cool little tricks around import triggers you'll see in Python."
01:39;01:41;"Maybe I'll show you some more later."
01:41;01:45;"But for now, import this brings up the Zen of Python by Tim Peters."
01:45;01:49;"This is from 1999, I believe."
01:49;01:53;"Tim had looked around and said, OK, this seems to be what we value."
01:53;01:59;"These seem to be some codifications of things that we would like to have more of in Python"
01:59;02:04;"or talks about not having other things you don't want."
02:04;02:06;"So we don't want ugly. We want beautiful."
02:06;02:08;"We don't want implicit. We want explicit."
02:08;02:11;"We don't want complex. We want simple and so on."
02:11;02:16;"Now, I'll just let you read this for yourself and think about it rather than me talk about it."
02:16;02:20;"I encourage you to actually go over to YouTube and search the Zen of Python"
02:20;02:25;"and find this video by Barry Warsaw, who is a core developer as well."
02:25;02:31;"And Barry created a song, a music video on the Zen of Python."
02:31;02:35;"And it's actually really good. It's totally worth your time."
02:35;02:40;"It's not required, but I encourage you to pause the video, go over to YouTube, watch this."
02:40;02:43;"Don't get sucked down a rabbit hole. Come back, but watch this video."
02:43;02:47;"And then think about the Zen of Python, some of those ideas there."
02:47;02:50;"And I'm sure we'll refer back to them throughout this course as well."
