Start Timestamp;End Timestamp;Transcript
00:00;00:09;"In this chapter, we're going to focus on the guidance provided by PEP 8, the Python Enhancement Proposal #8."
00:09;00:14;"This was put together by Guido van Rossum, Barry Warsaw, and Alyssa Koglin."
00:14;00:17;"It was first created back in 2001."
00:17;00:21;"Now, that date is notable because Python was released in 1991."
00:21;00:26;"So this is a full 10 years into Python that the style guide came out."
00:26;00:31;"It's not like Python and its style guide came out at the same time."
00:31;00:36;"This evolved after people got a bunch of real-world usage with Python and said,"
00:36;00:40;"""All right, now we think we know what works and what doesn't work."
00:40;00:44;"Let's put that into a document and suggest that as the way that we do things."""
00:44;00:48;"And in fact, put it into tools and linters and formatters and other things like that"
00:48;00:53;"that will actually either suggest error or find errors and suggest we fix them"
00:53;00:57;"or many of them will even fix them themselves."
00:57;00:59;"PEP 8 is this document here."
00:59;01:01;"You can go check it out and read through it."
01:01;01:03;"It's pretty comprehensive."
01:03;01:05;"It's pretty long even though it doesn't try to cover everything."
01:05;01:08;"There's still a lot to go through here if you like."
01:08;01:12;"And we'll take some of the ideas and explore them in code next."
