Start Timestamp;End Timestamp;Transcript
00:00;00:04;"Let's talk about imports and what pep8 has to say about them."
00:04;00:06;"So here we are in our code."
00:06;00:10;"You can see our virtual environment is active and it's 312."
00:10;00:15;"And we're going to work on this file, 01_hep8."
00:15;00:18;"You might wonder why I put this underscore here"
00:18;00:20;"because if we want to import one of the other files,"
00:20;00:22;"it can't import files that start with numbers."
00:22;00:24;"It's kind of a weird Python thing."
00:24;00:26;"Hence, that's why."
00:26;00:28;"So let's imagine I had a function,"
00:28;00:31;"a standard little function."
00:31;00:34;"Doesn't do much, just goes like that."
00:34;00:36;"And it says there's..."
00:36;00:38;"You don't want to name it like that."
00:38;00:40;"How about this, Michael? Much better."
00:40;00:43;"By the way, this is completely valid Python code."
00:43;00:45;"Like this dot dot dot actually is a thing."
00:45;00:47;"I could, you know, print out..."
00:47;00:49;"I could come in and I could print"
00:49;00:51;"type of dot dot dot."
00:51;00:53;"And if we'd run this, you'll see"
00:53;00:55;"this is actually what's called an ellipsis."
00:55;00:57;"So some people write pass,"
00:57;00:59;"but dot dot dot also works."
00:59;01:02;"Putting that aside, let's imagine I want to"
01:02;01:05;"use the OS module. So I'll say import OS."
01:05;01:07;"And down here I could say"
01:07;01:10;"print OS dot path dot"
01:10;01:13;"current dir."
01:13;01:15;"Like this."
01:15;01:17;"It's going to run just fine."
01:17;01:21;"You can see the current dir is dot."
01:21;01:24;"Well, that's not super interesting."
01:24;01:25;"Let's do a little bit more with it."
01:25;01:27;"Let's just say OS dot path dot absolute path."
01:27;01:29;"This."
01:29;01:32;"There we go. Now it's got the current dir, not just dot."
01:32;01:34;"By the way, you should probably use pathlib"
01:34;01:36;"rather than OS dot path,"
01:36;01:38;"but I want to play with some of the items"
01:38;01:40;"out of this module, so we'll just grab this one."
01:40;01:43;"Now notice there's squigglies here."
01:43;01:45;"Because what we should be able to do"
01:45;01:48;"is we should be able to go to the top of our file"
01:48;01:51;"and see what modules and external packages"
01:51;01:53;"are being used"
01:53;01:56;"by this part of our application."
01:56;01:58;"Well, what is up here right now?"
01:58;02:00;"Nothing. Nothing."
02:00;02:01;"I don't know what's up here."
02:01;02:03;"Just a bunch of, well, there's a comment"
02:03;02:05;"and there's a function and buried somewhere down,"
02:05;02:07;"like in a real app, imagine"
02:07;02:09;"a really complicated thing"
02:09;02:11;"where you're not just going to immediately see it."
02:11;02:13;"There's some kind of import statement"
02:13;02:16;"and you should know that more directly."
02:16;02:18;"So you can see there's actually,"
02:18;02:21;"that PyCharm has already found this problem for us."
02:21;02:24;"Let's hover over this and it'll say"
02:24;02:26;"error 402, module level import"
02:26;02:28;"not at the top of the file."
02:28;02:31;"I can also click up here and you'll see"
02:31;02:33;"this pep8 violation,"
02:33;02:36;"which, this one, the 402,"
02:36;02:40;"module level import not at top of the file."
02:40;02:42;"There's some stuff about blank lines here"
02:42;02:44;"because I put a bunch of stuff down here,"
02:44;02:46;"but we're going to get to later."
02:46;02:49;"So some of the time we can fix these things"
02:49;02:52;"with PyCharm if I hit on Mac"
02:52;02:55;"Command + Alt + L or Windows or Linux"
02:55;02:58;"Control + Alt + L, you'll see that it fixes"
02:58;03:00;"some of the problems."
03:00;03:02;"Here, I'll duplicate that off"
03:02;03:04;"so we don't have to look at that right now."
03:04;03:06;"And now we see we have fewer errors."
03:06;03:08;"This module is not at the top."
03:08;03:10;"Now, notice there's actually two errors"
03:10;03:12;"showing up here. There's the pep8 one."
03:12;03:14;"This comes from PyCharm directly."
03:14;03:17;"And this one comes from something called rough."
03:17;03:19;"So we're going to talk about rough later."
03:19;03:22;"Rough is an awesome, awesome tool."
03:22;03:26;"Way more rules and Pythonic things,"
03:26;03:28;"it checks. So I'll just show you real quick."
03:28;03:30;"If we go over to Plugins, I've installed"
03:30;03:34;"the rough plugin here, which shows"
03:34;03:35;"a whole bunch more checks and it does"
03:35;03:37;"a lot more fixes for us."
03:37;03:39;"Again, we'll dive into this later."
03:39;03:40;"I just want to show you where that message"
03:40;03:42;"is coming from and you can configure it"
03:42;03:45;"down here. So if I run reformat code,"
03:45;03:48;"it also runs rough over it, for example."
03:48;03:50;"More on that later. But that's why there's"
03:50;03:52;"two errors. There's the, this is the rough one"
03:52;03:54;"and this is the Python one, I believe."
03:54;03:56;"But they're the same error."
03:56;03:59;"Alright, a lot of setting the stage there,"
03:59;04:01;"but of course, what that tells us,"
04:01;04:03;"we should just put these up here at the top,"
04:03;04:06;"like that, and reformat the files a little bit."
04:06;04:08;"And notice, if I put it like this,"
04:08;04:11;"I get more warnings about spaces, right?"
04:11;04:14;"This thing doesn't have enough space."
04:14;04:16;"There should be two blank lines from"
04:16;04:19;"the import to this. The comments don't count"
04:19;04:21;"and then this thing is not, notice the lack"
04:21;04:23;"of a number. This is like a view into"
04:23;04:25;"source control sort of deal. It's not really"
04:25;04:28;"a line. So I can reformat it and PyCharm"
04:28;04:31;"says, ""PEP 8 says we should have these lines."
04:31;04:33;"We have fixed them for you."""
04:33;04:35;"Okay, great. The next thing is namespaces."
04:35;04:38;"And we're already actually using namespaces."
