Start Timestamp;End Timestamp;Transcript
00:00;00:02;"All right, last thing about import statements."
00:02;00:05;"I wanna talk about is positioning them"
00:05;00:07;"relative to each other."
00:07;00:11;"So there's a hierarchy of these different things."
00:11;00:14;"We've got stuff that is built in,"
00:14;00:19;"like OS and IterTools and Subprocess and Multiprocessing."
00:19;00:21;"And we've got our own modules."
00:21;00:23;"And if we had installed them,"
00:23;00:26;"we could say import requests or SQLAlchemy"
00:26;00:28;"or something like that."
00:28;00:30;"And that would be a third category."
00:30;00:32;"We don't have any for now."
00:32;00:33;"Let me go ahead and put..."
00:33;00:36;"Let's go ahead and quick pip install requests,"
00:36;00:40;"just so you can see the ordering here."
00:40;00:42;"Notice in PyCharm, when I bump into the terminal,"
00:42;00:45;"it automatically has the environment activated."
00:45;00:45;"So that's great."
00:45;00:48;"Pip install requests."
00:48;00:50;"So there we have it."
00:50;00:52;"We've got them all and they're all in different orders."
00:52;00:54;"So we've got standard library stuff,"
00:54;00:56;"more standard library stuff."
00:56;00:59;"We've got our own thing, more standard library stuff,"
00:59;01:00;"external stuff."
01:00;01:02;"So the way it should go is it should be"
01:02;01:04;"all the standard library stuff,"
01:04;01:07;"then all the external stuff, then all of our stuff."
01:07;01:10;"And with PyCharm, if I just hit reformat,"
01:10;01:15;"notice we get our built-ins,"
01:15;01:18;"our stuff from the standard library."
01:18;01:21;"Then we get third-party stuff, and then we get ours."
01:21;01:22;"And if we had multiple ones of ours,"
01:22;01:25;"it would be like this."
01:25;01:26;"If we had multiple external packages,"
01:26;01:27;"it would be like that."
01:27;01:30;"They'd be grouped together, no spaces between them,"
01:30;01:33;"but a space, a line rather,"
01:33;01:35;"a line between each category."
01:35;01:36;"So it would be,"
01:36;01:42;"then PyPI package imports."
01:42;01:45;"I'll comment those out just so we don't get errors."
01:45;01:48;"So this is the way they're expected to be grouped here."
01:48;01:50;"And it might seem like a hassle to think,"
01:50;01:51;"okay, well, am I gonna order these"
01:51;01:53;"and should I put them alphabetical?"
01:53;01:56;"Probably, but sometimes the order matters."
01:56;01:59;"Just Command-Alt-L, Control-Alt-L."
01:59;02:00;"You're good to go."
02:00;02:02;"It'll fix it for you."
02:02;02:03;"You don't wanna use PyCharm?"
02:03;02:04;"No problem."
02:04;02:05;"You just come down here,"
02:05;02:07;"and you change directory into code,"
02:07;02:10;"PEP8, and you just say rough format."
02:10;02:14;"Boom, there it goes."
02:14;02:17;"It even reformatted some of this."
02:17;02:17;"Here, this one."
02:17;02:19;"Actually, it just took away the parentheses."
02:19;02:20;"That's what rough wants."
02:20;02:21;"I'm gonna let rough have it."
02:21;02:24;"But you can change which rules are applied and which aren't."
02:24;02:28;"So many things about the import statement."
02:28;02:29;"They're right at the top of the file,"
02:29;02:31;"so they're a pretty good place to start"
02:31;02:33;"with our exploration of PEP8."
