Start Timestamp;End Timestamp;Transcript
00:00;00:01;"Let's talk about code layout."
00:01;00:04;"How do we position different blocks of code relative to each other?"
00:04;00:06;"Here we have some method."
00:06;00:11;"And remember, whenever you're looking at spaces, this little get helper thing,"
00:11;00:13;"or it says new, or it might have my name at some point."
00:13;00:17;"That's not, that doesn't count as line blank or otherwise that's like an IDE thing."
00:17;00:18;"Okay."
00:18;00:22;"So here we have this method and let's put some code in and we could have a"
00:22;00:28;"variable and another variable, putting them line after line like this is perfectly good."
00:28;00:32;"The warning is just that we're not using these variables assigned, but never used."
00:32;00:37;"Now, maybe we want to test is X the same as Y or is it different?"
00:37;00:43;"We can say, if X equal, equal Y print, they are the same else print."
00:43;00:44;"They are different."
00:44;00:46;"Okay."
00:46;00:51;"Now notice I have a line in between these, a gap to say, let's, let's have the"
00:51;00:56;"variables sort of visually grouped and let's have this if statement visually"
00:56;01:00;"grouped, but if we put too many spaces, notice now we get this warning and the"
01:00;01:02;"warning is a PEP 8 violation."
01:02;01:05;"The PEP 8 is too many blank lines."
01:05;01:07;"So within a function."
01:07;01:13;"Or more broadly within a block of code, this could be just in the script itself."
01:13;01:18;"I suppose you want code, maybe one line or zero lines, no more than that."
01:18;01:19;"Right."
01:19;01:22;"And if we had a bunch of lines here and I say reformat, well, PyCharm says,"
01:22;01:23;"you know what, too many lines."
01:23;01:24;"We know how to fix that."
01:24;01:26;"We're just going to turn that into one line there."
01:26;01:32;"The other thing to look at here is around defining these blocks of code."
01:32;01:33;"So I'll define another method."
01:33;01:40;"Here and notice when I hit colon and enter right here, I say colon enter."
01:40;01:46;"It automatically indents, but how does it indent in Python?"
01:46;01:49;"The recommendation is you indent with four spaces."
01:49;01:51;"That sounds horrible."
01:51;01:55;"It sounds like, oh my gosh, you got to click, click, click, click."
01:55;01:57;"You got to like press, keep counting the spaces."
01:57;01:58;"Wow."
01:58;02:00;"That sounds rough, but notice I didn't do that."
02:00;02:01;"I just hit enter."
02:01;02:06;"Now, if I highlight, you can see there are in fact, four spaces there,"
02:06;02:08;"but watch if I hit backspace."
02:08;02:11;"It goes away just as if that were a tab."
02:11;02:16;"So the modern editors treat blocks of four spaces as if they're tabs."
02:16;02:20;"If I hit tab again, it goes back out, but in fact, it's not a tab."
02:21;02:22;"It's four spaces."
02:22;02:26;"PyCharm as well as VS Code know this is how you do things."
02:26;02:27;"Okay."
02:27;02:29;"So we could have a X equals seven."
02:29;02:34;"We'll say if X equal equals zero colon enter again."
02:34;02:37;"Now we have another section here, right?"
02:37;02:39;"Again, four spaces."
02:39;02:44;"So we have this ability to group our code with these blocks, but we also have to be"
02:44;02:51;"really careful, at least conceptually, that these are always four, eight sets of"
02:51;02:53;"spaces that are divisible by four, basically."
02:53;02:53;"Okay."
02:53;02:58;"But in practice, it's incredibly easy because you don't do anything."
02:58;03:01;"You just type, right?"
03:01;03:03;"Like I want to have a block of code here."
03:03;03:04;"So I hit colon enter."
03:04;03:06;"Editor figures it out for us."
03:06;03:14;"You could have two spaces everywhere like this, but then when you reformat"
03:14;03:17;"rough and PyCharm both go, you know what?"
03:17;03:19;"No, that's not the way we're going to do it."
03:19;03:20;"All right."
03:20;03:23;"Two more really quick things before we call this section a wrap."
03:23;03:28;"Let's talk about having more methods and how they relate to each other."
03:28;03:30;"Here we have a bunch of other methods."
03:30;03:32;"You can see that they're too close."
03:32;03:33;"These are adjacent to each other."
03:33;03:39;"And if we put a new line, it's, let's put the, well, we can look at the"
03:39;03:40;"difference between method and method two."
03:40;03:42;"Still a problem if we add yet another."
03:42;03:44;"Now this error goes away."
03:44;03:48;"I got a little space there for my copy and paste, but okay."
03:49;03:51;"Two spaces between methods."
03:51;03:56;"And if we just go here and say reformat code, you can see it's put two spaces,"
03:56;04:00;"78, 79, 74, 75, and so on between each function."
04:00;04:03;"Now, the other thing we can look at real quick is a class."
04:03;04:07;"Let's suppose we have some class here and again, no spaces at all between these."
04:07;04:09;"But if I go here, hit enter."
04:09;04:14;"In fact, one space, two spaces is too many."
04:14;04:21;"Pep says one for within classes or methods, but functions outside of them"
04:21;04:23;"get two spaces as well as classes."
04:23;04:27;"Like if you had two classes, you would have two spaces between their definitions."
