Start Timestamp;End Timestamp;Transcript
00:00;00:02;"Pepe8 has a lot to say about line length."
00:02;00:09;"It says that your code should always fit in an 80-column terminal window."
00:09;00:17;"Remember, this is based on ideas from the '90s, and it's codified in the year 2000."
00:17;00:19;"While I agree that your code shouldn't..."
00:19;00:25;"You basically should never use horizontal scroll bars in your code, in practice, I feel"
00:25;00:29;"like 79 lines of code is a little bit short."
00:29;00:32;"So let's just look real quick what Pepe8 says."
00:32;00:37;"We could say, if we're typing away..."
00:37;00:38;"Now I have..."
00:38;00:39;"See, this is 104 lines."
00:39;00:42;"I have mine set to be longer, but let's make it..."
00:42;00:43;"Here we go."
00:43;00:47;"Now here's the error I was looking for, and we can talk about it."
00:47;00:48;"It says, ""Error."
00:48;00:51;"Pepe8, line is too long."
00:51;00:56;"156 columns,"" or 156 characters, ""is greater than 120."""
00:56;01:00;"So I do think you want to avoid this, avoid this scrolling."
01:00;01:05;"But I have a 32-inch monitor, and my fonts are usually smaller than what you see on the"
01:05;01:09;"screen relative to the whole window, because it's just me."
01:09;01:12;"I'm not trying to record it with large fonts so everyone can see, right?"
01:12;01:18;"If I write it so it's 79 lines or shorter, it's like a third of the screen, and that"
01:18;01:19;"seems really useless."
01:19;01:23;"It's really weird to say, ""I have this great canvas on which I can write code,"" and then"
01:23;01:26;"we're just going to blindly stick into the spot."
01:26;01:32;"So I think this number should be 100, or for my own self, I put 120, right?"
01:32;01:36;"Because that's what I think a reasonable setup is."
01:36;01:40;"Maybe on my laptop it's a bit tight, but 100 would still be totally fine."
01:40;01:43;"Now if that's the case, it's easy to fix, especially with PyCharm."
01:43;01:45;"You just go here and hit Enter."
01:45;01:46;"Boom."
01:46;01:47;"Look what that did."
01:47;01:51;"It converted it to two strings, and it put the parentheses there."
01:51;01:53;"Python's a little bit weird with strings."
01:53;01:57;"If you just have two strings next to each other, it's as if there's a concatenation"
01:57;02:00;"plus and you can have it or not have it."
02:00;02:01;"There's no harm."
02:01;02:04;"These green squigglies are just misspellings."
02:04;02:05;"No worries."
02:05;02:07;"But it's easy if these are not the right..."
02:07;02:10;"If they're too big, you just go in here and go, ""Okay, we're just going to..."
02:10;02:11;"Let's say we'll wrap it even more."""
02:11;02:15;"Just go click, click, right?"
02:15;02:17;"That's what I would do if it were too long."
02:17;02:22;"However, you all decide on your team or your project or whatever what the number is."
02:22;02:23;"There should be a number."
02:23;02:26;"Python and PEP 8 say 79."
02:26;02:31;"I think that's too constraining in the 2020s and beyond."
02:31;02:34;"You pick whatever works for you and make sure that you stick with it."
02:34;02:41;"You can see you can configure your editor and rough and those kinds of things to specifically"
02:41;02:44;"state what your number is."
02:44;02:48;"Mine was 120, and you saw we only got an error after column 120."
