Start Timestamp;End Timestamp;Transcript
00:00;00:03;"Next up, let's talk about documentation strings,"
00:03;00:05;"documenting methods and classes and modules,"
00:05;00:09;"often referred to simply as one word doc strings."
00:09;00:12;"So let's go back to our code layout section here."
00:12;00:14;"And let's suppose we want to give some information"
00:14;00:16;"about this another method."
00:16;00:19;"And let's say it takes in a y as well."
00:19;00:22;"And we'll say if x equals y."
00:22;00:25;"And when we call this, we could say there's another method"
00:25;00:26;"and want to pass in 7."
00:26;00:28;"If we hover over it, what do we see?"
00:28;00:32;"It says def another method takes a y of any type"
00:32;00:33;"and it returns nothing."
00:33;00:36;"Well, what does another method do?"
00:36;00:37;"What does it do here?"
00:37;00:38;"I don't know."
00:38;00:41;"There's no documentation around this, is there?"
00:41;00:43;"So we can add a doc string."
00:43;00:46;"And the way that usually works is we'll say triple quote,"
00:46;00:49;"and now the double quotes here rather than single quotes"
00:49;00:50;"is what's recommended."
00:50;00:55;"And then we can go down a line and we can type this again."
00:55;00:59;"And I could have some description about another method."
00:59;01:02;"So hover over this and you can see some description"
01:02;01:03;"about another method."
01:03;01:04;"Oh, okay."
01:04;01:05;"And then we can have,"
01:05;01:09;"put in something about the parameter y."
01:09;01:10;"Here we go."
01:10;01:16;"You can say up here, view, quick documentation."
01:16;01:19;"And you can see y, this is the value of y."
01:19;01:22;"This is nice, but watch this with PyCharm."
01:22;01:25;"If I just type, I had to work to make this not happen."
01:25;01:26;"Type triple quote, you can see it."
01:26;01:29;"Once I hit the third quote, it will close it."
01:29;01:30;"And if I hit enter, I didn't get anything."
01:30;01:32;"Let's check this out in the settings real quick here."
01:32;01:34;"So if we go to tools,"
01:34;01:39;"you type doc strings and integrated tools,"
01:39;01:41;"notice that it says plain."
01:41;01:43;"Let's switch this over to Google"
01:43;01:44;"and go back and do that again."
01:44;01:45;"I think maybe it turned off."
01:45;01:47;"Let's quote, enter."
01:47;01:48;"There you go."
01:48;01:50;"So all I did is triple quote, hit enter."
01:50;01:53;"And it says, here's your args, here's your return value."
01:53;01:55;"I'll say no return value."
01:55;01:57;"So it'd be the value of y."
01:57;02:01;"Notice how it kind of gives you the structure"
02:01;02:03;"so that you can remember what to do there."
02:03;02:06;"And now if I hover over this again,"
02:06;02:07;"you can see it even has in here,"
02:07;02:09;"it has the parameter y called out"
02:09;02:12;"with its specific information, has some details."
02:12;02:13;"So we can give some nice help."
02:13;02:18;"And in fact, if I just go print help, another method,"
02:21;02:26;"we run this, notice I can even get it to show"
02:26;02:28;"the documentation."
02:28;02:32;"Help on function, another method in module dunder main."
02:32;02:35;"Okay, so these all show up all over the place."
02:35;02:38;"The recommendation is you should have doc strings."
02:38;02:42;"And I would recommend that you really only put doc strings"
02:42;02:45;"on functions that really need the documentation,"
02:45;02:46;"that really need it."
02:46;02:48;"And especially on public facing ones."
02:48;02:50;"If you're creating a package"
02:50;02:51;"and someone is consuming your package,"
02:51;02:54;"it makes a lot of sense to put a doc string on it."
02:54;02:56;"If it's just some internal function,"
02:56;02:58;"you know, like here you can see the documentation"
02:58;03:03;"adds more to the screen than actually the code itself."
03:03;03:05;"But sometimes it just gets in the way"
03:05;03:08;"and makes it harder to read the code and see more code."
03:08;03:09;"So it's your call when to use it,"
03:09;03:12;"but I would recommend on public methods"
03:12;03:13;"that other people are using,"
03:13;03:15;"or maybe things that are really complicated"
03:15;03:17;"and not super obvious what to do."
03:17;03:20;"But you can see that PyCharm helps and this is how we do it."
03:20;03:24;"And generally, it's recommended to have dock strings."
