Start Timestamp;End Timestamp;Transcript
00:00;00:02;"It's time to talk about naming things."
00:02;00:05;"Naming things is hard in programming, isn't it?"
00:05;00:08;"There are some conventions and some rules,"
00:08;00:10;"and for Python, as there are for many languages,"
00:10;00:12;"before we get to the specific rules,"
00:12;00:14;"just want to throw out there that I believe"
00:14;00:16;"names should be descriptive."
00:16;00:21;"So here's a rule of thumb that I go with a lot of times."
00:21;00:23;"It gives me pause, makes me think,"
00:23;00:26;"maybe I should slow down and do something slightly different."
00:26;00:31;"If you need to comment to describe what a function does,"
00:31;00:35;"if you need a comment to describe what a variable is about,"
00:35;00:38;"maybe you should just give it a better name, right?"
00:38;00:42;"If it's xu and you have a comment that says,"
00:42;00:46;"well, xu means this is the x-axis"
00:46;00:49;"of the universal measurement,"
00:49;00:51;"maybe you should just give it a name"
00:51;00:52;"something closer to that,"
00:52;00:54;"even if it's a little bit longer."
00:54;00:55;"Descriptive goes a long ways."
00:55;00:57;"There's a really cool concept"
00:57;00:58;"from the whole refactoring world."
00:58;01:01;"There's all these different refactorings,"
01:01;01:03;"and so they have this idea of code smells,"
01:03;01:05;"like if you do something wrong, if it's not broken,"
01:05;01:06;"but it kind of smells bad,"
01:06;01:09;"there's a little bit not great,"
01:09;01:12;"maybe you need to refactor it to something better."
01:12;01:14;"Well, one of the concepts from that place"
01:14;01:18;"is that code comments are often attempting"
01:18;01:21;"to be deodorant for code smells."
01:21;01:22;"And I totally agree."
01:22;01:23;"If you see some description,"
01:23;01:26;"like here's a thing that says,"
01:26;01:30;"this isn't very clear, here's why."
01:30;01:31;"Often a better name will fix it."
