Start Timestamp;End Timestamp;Transcript
00:00;00:05;"Let's explore these ideas a little bit in code and have some fun with them."
00:05;00:11;"So we moved on to this chapter here, Foundations, and we're in the Truthiness section."
00:11;00:20;"I got this function called PrintTruthiness, and we can just give it a value, any sort of expression that we want to test."
00:20;00:29;"It'll use a ternary expression right there that says, ""True if the value of the expression evaluates to something truthful."""
00:29;00:34;"Otherwise, if it's falsy, it'll evaluate to false."
00:34;00:39;"And then, just so we can see what's happening, we're doing this little f-string here to represent,"
00:39;00:44;"just echo out the value or the expression or whatever it was that we passed in."
00:44;00:53;"So, for example, let's just go down here and print ""Truthiness of false."""
00:53;00:58;"Run that, you can see that it is false if you pass the value false."
00:58;01:00;"No, you're super surprised."
01:00;01:06;"And similarly, if we pass in ""True,"" I'll put a little print statement down there as well."
01:06;01:09;"True is true, false is false. This is obvious."
01:09;01:13;"You know what a boolean value is. Nothing needs to be explained here."
01:13;01:20;"But it gets more interesting as we get down here for sequences and collections."
01:20;01:26;"Now, notice I can hit P-T, by the way, in PyCharm and use the snake case we talked about naming."
01:26;01:28;"Here's how that comes back to help us."
01:28;01:31;"P-T, and you can see the P and the T are highlighted."
01:31;01:34;"I can kind of just say the first characters of both those things."
01:34;01:37;"So, you'll see me taking shortcuts like that."
01:37;01:40;"Try when I do these things for the first time to point them out to you,"
01:40;01:43;"and then we'll just roll with them and keep the code flowing."
01:43;01:52;"All right, so if I put in an empty list or, let's say, an empty set, for example, let's see what we get."
01:52;01:56;"The empty list is false. The empty set is false."
01:56;02:03;"However, let's put in totally random numbers. I'm just making that up."
02:03;02:07;"If we have a set, a list here that is not empty, guess what? That's truthful."
02:07;02:10;"And let's make a little more room here."
02:10;02:21;"Similarly for the set, if we go down and have a set like this."
02:21;02:27;"The set, of course, has values without duplication, so it should remove the one, but it'll still be non-empty."
02:27;02:34;"Here you can see that that set is, in fact, truthful. Excellent, huh?"
02:34;02:38;"Let's print truthiness for an object."
02:38;02:42;"We could put in a string, or we could put in some string like that."
02:42;02:45;"Those are objects."
02:45;02:49;"Nothing, we don't really... we're not getting a great representation of it."
02:49;02:54;"I guess I could maybe change this so it puts the prepper of that."
02:54;02:58;"Let's try and see what we get there."
02:58;03:01;"There we go. Now we got our quotes on there."
03:01;03:04;"I don't know if that's better or not, but we can run with it."
03:04;03:09;"Empty string, false. Non-empty string, truthful."
03:09;03:17;"We could also put the number 7, the number... I don't know how big that is, but if we put digit grouping into it, it's a million apparently."
03:17;03:22;"We put 7 and a million. Both 7 and a million are true."
03:22;03:25;"But if we put 0, 0 is false."
03:25;03:33;"But if we put a float, also false, but if it's 10 to the negative 10, a bunch of 0s there."
03:33;03:43;"That's truthful, right? It doesn't matter how small it is, but if it's truly 0.0, then it's false."
03:43;03:47;"We could also put one final thing here in this object section."
03:47;03:49;"We could put all sorts of interesting weird things."
03:49;03:57;"If we want to use pathlib from pathlib, we just put the current directory like this."
03:57;03:59;"We'll put it like that."
03:59;04:04;"Here we can get this, the posit path. Let's even get something like... let's do the file."
04:04;04:09;"We'll check the truthiness of the directory that contains this file."
04:09;04:13;"A parent like that. And a path like this."
04:13;04:19;"It's a path object that goes to here, and in fact, that is true. Very interesting."
04:19;04:22;"You can see most things are true."
04:22;04:25;"Last one, we'll print something like none."
04:25;04:29;"Down here, we'll put a little spacing, grouping."
04:29;04:35;"None is false. Not none. There's not really a way to express that other than any of these types of things."
04:35;04:39;"None is also false."
04:39;04:45;"Finally, if we want to create some type that is kind of like a list or a string,"
04:45;04:50;"and it exhibits its own definition of truthiness, just not none, but if it's empty, for example."
04:50;04:54;"We could have a class that we create."
04:57;05:05;"Down here, maybe we're going to give it some kind of thing where we give it, I don't know, some data."
05:05;05:08;"We'll say maybe the data is the list."
05:08;05:13;"And we'll have a way to add a function or add a value."
05:13;05:20;"Self.data.append. Notice PyCharm is trying to write that for us using its local LLM. Thank you, PyCharm."
05:20;05:26;"And what we want to do is we want to have this thing say it's true if it has data inside of it,"
05:26;05:29;"but false if it does not have data inside of it."
05:29;05:33;"So let's have t equals truthful object."
05:33;05:36;"t, add one is fine."
05:36;05:41;"We'll have f equals truthful object, but we won't put anything into it."
05:41;05:43;"Okay?"
05:43;05:46;"Then we just print truthiness of these things."
05:46;05:48;"And t and f."
05:48;05:53;"Now, notice this is not helpful, this repper, and neither would the string."
05:53;05:59;"So let's go and just add a defs repper, I guess, is what we really need to add here."
05:59;06:06;"And what we're going to do is we're going to return something that looks like this."
06:06;06:09;"Truthful object with the representation of the data."
06:09;06:11;"Wow, look at that. Thank you, PyCharm."
06:11;06:14;"Here we go. Now we've got a truthful object with that and that."
06:14;06:16;"So if it has data in it, it's truthful."
06:16;06:20;"But if it has no data in it, it's truthful."
06:20;06:22;"Sad face."
06:22;06:24;"All right, so why is that the case?"
06:24;06:28;"Well, it's the case because this thing in here is not none."
06:28;06:30;"It's not an empty list. It's not an empty string."
06:30;06:34;"It's not any of those six or seven things I listed at the beginning."
06:34;06:38;"So we've got to override that."
06:38;06:44;"So we've got to define a way that says, look, this thing knows about its truthfulness."
06:44;06:46;"So define a bool here."
06:46;06:51;"And we'll just return--I think this is pretty good--"
06:51;06:52;"the bool of data."
06:52;06:57;"So if the data evaluates to true, that means it's nonempty, then that's true."
06:57;07:02;"If it evaluates to false--if it is empty, it's going to evaluate to false."
07:02;07:04;"This is an option. That's what PyCharm suggested."
07:04;07:10;"We could also go return true if self.data else false."
07:10;07:13;"But you know what? I like the bottom one."
07:13;07:16;"Let's try that. Run it. And look at this."
07:16;07:18;"When we have items in it, it is true."
07:18;07:26;"When we have no items in it, we can add some more--2, 3, 5, etc."
07:26;07:28;"Still true. Right?"
07:28;07:31;"But if it's empty, it's false."
07:31;07:33;"Awesome. So there you have it."
07:33;07:37;"Truthiness in a nutshell in Python."
07:37;07:41;"Let me just give you one more closing piece of advice on this."
07:41;07:44;"This is true for if statements, while loops."
07:44;07:45;"This is basically an if statement."
07:45;07:48;"So what you do not want to do--you don't want to do it like this."
07:48;07:50;"You want to say if this equals true."
07:50;07:55;"Because if we put that--I've got to put it in parentheses to make Python happy."
07:55;07:59;"But if we do this, first of all--there's some warnings here."
07:59;08:00;"What do they say?"
08:00;08:05;"Comparison to true should be if condition is true or if condition."
08:05;08:07;"So they're saying don't do this."
08:07;08:10;"But why? Right? Again."
08:10;08:11;"Let's run it."
08:11;08:16;"And look, all these things that we had before is like false is false, true is true."
08:16;08:17;"Yes, that's awesome."
08:17;08:19;"But everything else is false."
08:19;08:20;"Weird."
08:20;08:23;"Even the thing that implements truthfulness in Python."
08:23;08:25;"Why is it false?"
08:25;08:29;"It is false because this is not the true object."
08:29;08:33;"True, this thing, is a singleton object in Python."
08:33;08:37;"And this is not it except for when you literally say the word true again."
08:37;08:41;"So some languages you test like this, right?"
08:41;08:42;"But not here."
08:42;08:48;"You just embrace the truthiness or the falsiness of the object or the expression."
08:48;08:50;"And that's how you do stuff in Python."
08:50;08:55;"For loops like while expression rather than while expression equal equal true."
08:55;08:56;"Or things like that."
08:56;09:01;"You might check while a value greater than 10 or something, right?"
09:01;09:02;"You might have an expression."
09:02;09:06;"But equal equal true is really, really rare."
