Start Timestamp;End Timestamp;Transcript
00:00;00:08;"This chapter is all about dictionaries, aka hash maps, although in Python we call them"
00:08;00:10;"dictionaries."
00:10;00:15;"Dictionaries are data structures that allow you to specify a key and then based on that"
00:15;00:21;"key, based on the hash of that key really, to go and find the actual item."
00:21;00:25;"So maybe we're going to put an email address in and then put a user object which relates"
00:25;00:30;"to that email address, like a primary key or something, kind of like a key value store."
00:30;00:35;"These are super, super important in Python."
00:35;00:36;"Dictionaries are everywhere."
00:36;00:40;"So they're back in stores for classes and objects."
00:40;00:46;"When you create an object, you may know that there's a dunder dict, double underscore dict,"
00:46;00:47;"double underscore."
00:47;00:50;"That's a dictionary and it holds the fields and the values."
00:50;00:55;"So if you had a class that had a model to person, it was first name, last name as fields,"
00:55;01:00;"well you have a dictionary that has a first name key and whatever the value is as the"
01:00;01:05;"entry and a last name key and whatever the value is as the entry."
01:05;01:11;"So they really literally are the memory back end for objects and many, many other things"
01:11;01:13;"throughout Python."
01:13;01:15;"They're isomorphic with JSON."
01:15;01:20;"In fact, when you print a Python dictionary and you look at JSON, they're really, really"
01:20;01:22;"similar."
01:22;01:26;"Usually the only difference is that in Python, when you print it, you'll see single quotes."
01:26;01:29;"In JSON, it requires double quotes for the strings."
01:29;01:31;"But other than that, it's the same."
01:31;01:36;"A few other things like you can put non-serializable things into a Python dictionary, but not JSON"
01:36;01:40;"and so on, date, times, things like that."
01:40;01:42;"Keyword arguments in methods."
01:42;01:48;"So if I want to have a method that has an arbitrary number of extensible keyword arguments,"
01:48;01:54;"so I could say like name equals Michael, mode equals dev, but those are not explicit parameters"
01:54;01:57;"in the function list of parameters there."
01:57;02:02;"Well you can set it up so those become a dictionary that you can then program against."
02:02;02:07;"When you have these situations where you have some value that corresponds to the object"
02:07;02:11;"and that happens to be the key, like my example with emails, the performance of lookups is"
02:11;02:13;"nearly instant."
02:13;02:19;"So it is one of the best data structures you can possibly use to look up something by a"
02:19;02:21;"key if you've already arranged it like that."
02:21;02:25;"And we'll see some really cool examples of performance there."
02:25;02:30;"We work with databases, relational ones, and NoSQL document type ones."
02:30;02:36;"Very likely what you're going to get back from the lower level database APIs are dictionaries."
02:36;02:40;"So here are just a couple of the reasons that working with dictionaries is super important."
02:40;02:44;"We're going to look at some of the cool techniques that Python has, as well as the idiomatic"
02:44;02:46;"Pythonic ways of working with them."
