Start Timestamp;End Timestamp;Transcript
00:00;00:04;"Our first topic for dictionaries is going to be around their primary use case."
00:04;00:09;"Do I have something I can identify by like an ID or a special lookup that I can use?"
00:09;00:13;"Well, dictionaries are custom made for that."
00:13;00:17;"But maybe not the first thought that comes to mind depending on your data structure,"
00:17;00:20;"experience, and knowledge."
00:20;00:21;"So here's two algorithms."
00:21;00:27;"They're fairly made up, but you'll see the performance story is pretty interesting."
00:27;00:33;"Here we have a data list of half a million items, and for some reason we have information"
00:33;00:35;"about a hundred of the points."
00:35;00:40;"Maybe we've got some filter algorithm and it says, ""Hey, under these conditions, we"
00:40;00:46;"want to go find the items that have this criteria or that ID or fit into this set,"" something"
00:46;00:48;"like that."
00:48;00:49;"So here's one way we could do it."
00:49;00:56;"We could loop over all hundred IDs or elements, and then we could call a function that says"
00:56;00:58;"find point by ID in the list."
00:58;01:03;"And I didn't put it here, but basically that loops through the list and says, ""Go to each"
01:03;01:07;"item in the list and see if the element or the ID match the criteria of the interesting"
01:07;01:10;"point is the one we're looking for."
01:10;01:13;"And when we get it, we'll return it and we'll put it into a list here."""
01:13;01:15;"That's one possible way to write it."
01:15;01:18;"It would totally work."
01:18;01:21;"On the other hand, what if we used a dictionary?"
01:21;01:26;"500,000 items, it's a little bit more expensive to store because it holds the key plus the"
01:26;01:32;"value, not just the values, and it's a little bit more expensive to create, a tiny bit,"
01:32;01:37;"and we have the same keys or IDs or whatever for the interesting points."
01:37;01:42;"And we look through them and we say, ""Give us the one by those keys."""
01:42;01:49;"This algorithm can be many, many times faster, even considering that it takes a while to"
01:49;01:55;"create that dictionary relative to creating the list, it's still dramatically better."
01:55;01:58;"So we're going to explore that in a little code demo."
