Start Timestamp;End Timestamp;Transcript
00:00;00:03;"Now let's talk about merging dictionaries."
00:03;00:04;"Why would you want to do this?"
00:04;00:08;"Because you have data coming from different sources,"
00:08;00:09;"but it's kind of the same shape,"
00:09;00:12;"at least has a related set of keys,"
00:12;00:13;"and then you want to ask questions"
00:13;00:16;"about that data in aggregate."
00:16;00:17;"Here's an example."
00:17;00:21;"So maybe we're working with Flask or Pyramid"
00:21;00:22;"or some other web framework,"
00:22;00:24;"and they've got different dictionaries"
00:24;00:27;"that specify parts of the request."
00:27;00:30;"So you might have route data."
00:30;00:35;"This is like products/27/fastapps, right?"
00:35;00:40;"So 271, that comes, that /271,"
00:40;00:45;"that comes to us as part of a variable in a URL"
00:45;00:48;"through Flask or Pyramid, as well as this, okay?"
00:48;00:50;"So maybe that's coming from the one place."
00:50;00:53;"And we also have question mark, something else,"
00:53;00:57;"like id=1 and renderfast=true."
00:57;00:58;"So here's more data about the request,"
00:58;01:00;"but it's not part of the route."
01:00;01:02;"It's a query string that's kind of arbitrary."
01:02;01:05;"And maybe all of this is being done"
01:05;01:10;"as part of a form post to that URL with that query string."
01:10;01:11;"So here's yet more data,"
01:11;01:13;"and these were elements of the form."
01:13;01:15;"But we don't care about where they come from."
01:15;01:18;"We just say, all right, I want to know,"
01:18;01:21;"what is all this data that's submitted altogether?"
01:21;01:24;"Now, notice we even have some duplication"
01:24;01:25;"that I put in here,"
01:25;01:27;"and whether you want to do this in a web app"
01:27;01:29;"and accept it out of the query string is one thing,"
01:29;01:32;"but from a dictionary merging perspective,"
01:32;01:34;"it's interesting, okay?"
01:34;01:37;"So we're going to print out these three dictionaries."
01:37;01:39;"And as I said in the opening,"
01:39;01:41;"they look a whole lot like this,"
01:41;01:44;"but with double quotes instead of single quotes, okay?"
01:44;01:46;"And then there's a couple of ways,"
01:46;01:49;"like maybe you're just thinking back to C,"
01:49;01:51;"and like, I'm going to loop over some stuff"
01:51;01:52;"or something like that."
01:52;01:54;"And like, okay, well, what I can do with the dictionary"
01:54;01:56;"is I can create an empty one,"
01:56;01:58;"and then I can loop over these."
01:58;02:00;"And what you get back when you loop over a dictionary"
02:00;02:03;"is its key, its set of keys, each key here,"
02:03;02:05;"I can say, well, that key in this case,"
02:05;02:08;"an email or a name,"
02:08;02:10;"we're going to set it to the value"
02:10;02:11;"of whatever's in this set."
02:11;02:13;"And then we're going to do it for the next one"
02:13;02:15;"and for the next one."
02:15;02:18;"And it's just going to build up this dictionary M1."
02:18;02:20;"Now notice there's an order of operations."
02:20;02:24;"This is the least priority query."
02:24;02:25;"This is intermediate priority,"
02:25;02:26;"and this is top priority,"
02:26;02:29;"because if we have ID here, it gets put in there,"
02:29;02:33;"but then later the ID gets set to a new value"
02:33;02:35;"from the post or from the route."
02:35;02:37;"Okay, so this is absolutely going to work."
02:37;02:40;"We're going to end up with a dictionary without duplicates,"
02:40;02:42;"with a priority that we get to specify."
02:42;02:45;"But look at all this stuff."
02:45;02:46;"Yuck, okay."
02:46;02:48;"Plus slow, 'cause we're looping in Python."
02:48;02:51;"Here's maybe a more classical way."
02:51;02:53;"These dictionaries have functions,"
02:53;02:55;"like I could create a copy of the query"
02:55;02:58;"and then update takes all the elements of the post"
02:58;03:00;"and sticks it into M2"
03:00;03:02;"and overriding potentially exist ones,"
03:02;03:04;"and existing ones, and then same here."
03:04;03:06;"So M2 will be the same."
03:06;03:08;"I'll end up with this type checker,"
03:08;03:11;"'cause PyCharm's freaked out about post,"
03:11;03:13;"even though it's the same as the other things."
03:13;03:16;"Anyway, we could also do this"
03:16;03:18;"as a cool dictionary comprehension on one line."
03:18;03:19;"I'll break it out for you,"
03:19;03:21;"so you can kind of see it in action"
03:21;03:23;"a little bit better here, right?"
03:23;03:27;"So we want KV for all the things in,"
03:27;03:28;"so for each dictionary,"
03:28;03:30;"and then going through the dictionary,"
03:30;03:31;"get the key and value,"
03:31;03:32;"and then we're going to pull them back."
03:32;03:34;"Ooh, interesting."
03:34;03:35;"Not the best way."
03:35;03:37;"In Python 3.5, we have this way"
03:37;03:40;"where you can explode a dictionary,"
03:40;03:42;"star, star, query, star, star, post,"
03:42;03:44;"and this will create the dictionary"
03:44;03:46;"exactly in the same way as I described here"
03:46;03:48;"and also the others,"
03:48;03:50;"where if there's a duplicate key,"
03:50;03:52;"the more on the right,"
03:52;03:54;"that gets like the last right"
03:54;03:56;"or the last setting of the value,"
03:56;03:58;"in which case the farther,"
03:58;03:59;"you know, you have the lowest"
03:59;04:01;"to the highest priority in order."
04:01;04:02;"In Python 3.10 though,"
04:02;04:04;"they've taken this pipe"
04:04;04:06;"or this kind of or operator,"
04:06;04:09;"which I believe used to be only applicable to sets."
04:09;04:11;"Oh, sorry, this is nine,"
04:11;04:13;"and this is eight, came out in 3.9."
04:13;04:18;"And we can just or them together."
04:18;04:21;"So just like the very first one,"
04:21;04:22;"the M1 example,"
04:22;04:24;"it's going to take a dictionary of these,"
04:24;04:27;"and then it's going to say for all the keys,"
04:27;04:30;"either overwrite the old ones or create new ones,"
04:30;04:32;"and then they're going to have a dictionary here,"
04:32;04:33;"apply to the or,"
04:33;04:34;"and you'll get it route."
04:34;04:36;"So again, lowest to highest priority,"
04:36;04:37;"we'll print them all out."
04:37;04:39;"And just to be super duper sure"
04:39;04:40;"we don't miss something,"
04:40;04:41;"we'll say, are they the same?"
04:41;04:44;"And we have this crazy expression here."
04:44;04:46;"Are they all equal?"
04:46;04:47;"Yes, otherwise no."
04:48;04:49;"Let's go."
04:49;04:52;"Boom, here's the individual dictionary."
04:52;04:54;"It's as I said,"
04:54;04:55;"printed out,"
04:55;04:56;"and I guess we're not printing them as JSON,"
04:56;04:57;"so we won't have double quotes,"
04:57;04:59;"but anyway, print them out,"
04:59;05:00;"they look like this."
05:00;05:01;"And then you can see,"
05:01;05:03;"this is the one we got from the three loops."
05:03;05:05;"This is the one that we got from the copy,"
05:05;05:07;"update, update, update."
05:07;05:09;"Here's the one from,"
05:09;05:10;"well, that one is three."
05:10;05:13;"This is the dictionary comprehension."
05:13;05:15;"This is the star star exploding style from three, five,"
05:15;05:20;"above, this is the new pipe merging style from Python 3.9."
05:20;05:24;"All right, so you wanna do this"
05:24;05:27;"because you have three related pieces of data"
05:27;05:29;"and you wanna put them all together,"
05:29;05:31;"potentially with a priority of this one."
05:31;05:32;"If there's duplicate keys,"
05:32;05:34;"the route is more important"
05:34;05:37;"and less influenceable than the query string, for example."
05:37;05:38;"So we're gonna take that data from route,"
05:38;05:41;"and you can see they all have the route ID,"
05:41;05:43;"not the query string ID, for example."
05:45;05:47;"Awesome, awesome, awesome, awesome."
05:47;05:48;"That's pretty cool, huh?"
05:48;05:50;"So if you're in the new Python,"
05:50;05:53;"I say that this is pretty much the way to go."
05:53;05:57;"The one time that you might do something different like this"
05:57;06:00;"or probably just this one really,"
06:00;06:02;"is if there's some kind of,"
06:02;06:05;"if use M2, then we also do this."
06:05;06:07;"Like there's some condition in here"
06:07;06:09;"where you sometimes bring in the other pieces,"
06:09;06:11;"sometimes you don't, then maybe this makes sense."
06:11;06:14;"But I'm gonna say modern Python,"
06:14;06:15;"This is the Pythonic way."
06:15;06:17;"They added it to the language, after all."
