Start Timestamp;End Timestamp;Transcript
00:00;00:09;"Here's an ironic example or ironic point to cover in this course, especially this chapter about dictionaries, is to avoid using dictionaries."
00:09;00:16;"Huh. Well, we started this chapter by talking about, ""Oh, you should really use dictionaries when they're important and you're doing that kind of lookup."""
00:16;00:22;"And I also mentioned that dictionaries are the back-end storage for classes."
00:22;00:24;"Here's a thing, we'll call it ""MutableThing."""
00:24;00:29;"And look at this, we're creating four variables when we create this object."
00:29;00:33;"Okay. And under here it has a self.dunderDict."
00:33;00:35;"And do you know what that dictionary looks like?"
00:35;00:41;"A thing with ""A"" as a key, and then whatever the value of ""A"" is, ""B"" is a key."
00:41;00:45;"And it has one of these every single object you create."
00:45;00:53;"So if I had a list with a hundred mutable things, it would have a hundred dictionaries of all these items and keys in it."
00:53;00:55;"Not great."
00:55;01:03;"So there's this technique in Python, this technique for object-oriented programming and classes called ""slots."""
01:03;01:15;"Now, here's your regular class, and what's interesting, maybe useful, is you can say ""MutableThing,"" and then you can say ""MutableThing.newValue = 7."""
01:15;01:24;"And guess what? Now that one object, ""mt,"" it has five things in its dictionary, ""a,"" ""b,"" ""c,"" ""d,"" and ""newValue."""
01:24;01:27;"And the entry there is seven."
01:27;01:32;"So, you know, Python is a dynamic language, and this is like part of that."
01:32;01:39;"However, how often do you create classes and then just arbitrarily start sticking values on them?"
01:39;01:43;"I'd say one out of ten, one out of a hundred times."
01:43;01:52;"Most of the time, you specify what the values are in the constructor or at the type level, and you just set those values."
01:52;01:54;"You just set them."
01:54;01:55;"You don't change new ones."
01:55;02:03;"Actually, it's recommended that you don't do those kinds of things most of the time if you're not doing funky dynamic programming or metaprogramming."
02:03;02:15;"So what we can do is with this slots idea here is we can pre-declare these are the only things, the only fields you're allowed to add, and then from there on, it's the same."
02:15;02:17;"Here we're going to set them."
02:17;02:22;"If I go to self., there's those things, right?"
02:22;02:28;"However, what is not there once you do this is dictionary with its keys and its creation."
