Start Timestamp;End Timestamp;Transcript
00:00;00:02;"Back to some dictionary basics,"
00:02;00:03;"but these are really valuable."
00:03;00:05;"So we have this data here."
00:05;00:09;"We're in 2001 in the country, US."
00:09;00:12;"Johnny Five, Johnny Five is alive from a short circuit"
00:12;00:14;"or something like that."
00:14;00:15;"Some movie title, how long it is."
00:15;00:17;"We wanna ask questions about it."
00:17;00:19;"We have these different styles."
00:19;00:20;"Are we optimistic?"
00:20;00:24;"And by optimistic, do we know that these values exist?"
00:24;00:26;"If you're 100% sure,"
00:26;00:30;"there's a real easy way to access data out of a dictionary."
00:30;00:32;"Here we're gonna say data bracket key."
00:32;00:36;"So year, year, and it's gonna give us the 2000."
00:36;00:40;"However, if we ask for something that isn't there,"
00:40;00:42;"well, what's gonna happen?"
00:42;00:45;"Hint, there's a comment that says crash."
00:45;00:46;"I bet it crashes."
00:46;00:48;"It crashes with a error"
00:48;00:50;"you're probably likely seen before."
00:50;00:51;"Key error."
00:51;00:55;"Yikes, what is this?"
00:55;00:56;"Well, we can click here and it'll take us."
00:56;00:58;"Yeah, sure enough, that crashes."
00:58;00:59;"Well, why is it crashing?"
00:59;01:01;"It's crashing because Python says"
01:01;01:03;"you asked for something not in here."
01:03;01:06;"Er, key error, crash, crash, crash."
01:06;01:07;"Yikes, okay."
01:07;01:08;"And because it comes out as a warning,"
01:08;01:12;"it outran the print of the year, which was 2001."
01:12;01:15;"So I'll comment this back out."
01:15;01:19;"So sometimes you're 100% sure the data's there"
01:19;01:20;"and you can write code like this."
01:20;01:23;"I find myself rarely writing code like this"
01:23;01:27;"unless I want a key error if it's not there."
01:27;01:32;"We could do the try, accept style,"
01:32;01:34;"easier to ask for forgiveness than permission."
01:34;01:35;"Just try it if it fails."
01:35;01:38;"Whoopsie, something went wrong."
01:38;01:41;"Okay, so we should see 2001 again,"
01:41;01:43;"but then not this."
01:43;01:44;"Instead, we'll see key error or something like that."
01:44;01:46;"Let's run it."
01:46;01:49;"And pessimistic style."
01:49;01:51;"What did we call this one?"
01:51;01:52;"Yeah, pessimistic style."
01:53;01:56;"2001, oops, rating."
01:56;01:59;"Okay, that's the problem, exception is the rating."
01:59;02:04;"Okay, we could be super safety conscious"
02:04;02:06;"and do the look before you leap style."
02:06;02:08;"Please stop."
02:08;02:10;"We could do the look before you leap style of programming."
02:10;02:14;"We could say if this key year is in the data,"
02:14;02:15;"ooh, go get it."
02:15;02:18;"If the rating is in here, ooh, go get it."
02:18;02:20;"Otherwise, oh, we didn't find a rating."
02:21;02:23;"Let's see what that looks like here."
02:23;02:26;"Safety first, 2001, perfect."
