Start Timestamp;End Timestamp;Transcript
00:00;00:03;"Quick review of safe or less safe,"
00:03;00:06;"various ways of accessing values out of dictionaries."
00:06;00:08;"So we have this data, the year, the country,"
00:08;00:11;"the title, the duration, and so on."
00:11;00:13;"Then we could just access the values"
00:13;00:15;"the way they tell you to for dictionaries."
00:15;00:17;"I have the dictionary bracket key."
00:17;00:19;"Awesome, I get the year 2001."
00:19;00:24;"Data, bracket rating, crash, key error, no key rating."
00:24;00:28;"Oh, all of a sudden, or in like try, accept,"
00:28;00:30;"and all sorts of tricky stuff."
00:30;00:32;"And then, whoa, you want to do this for five things?"
00:32;00:35;"You try to catch all five and yeah, no thank you."
00:35;00:39;"So you can use the get, which I'm a huge fan of."
00:39;00:42;"Data.get year, data.get rating."
00:42;00:45;"And here we can see we're specifying alternate values."
00:45;00:48;"If we put nothing there for the green numbers,"
00:48;00:51;"we get none, which a lot of times is great,"
00:51;00:53;"but maybe none is a perfect value,"
00:53;00:54;"or maybe you still want it to be a number."
00:54;00:57;"So here we say, if there's no year, give us zero."
00:57;00:59;"But there is, so it's 2001."
00:59;00:59;"Say get the rating."
00:59;01:02;"If there's no rating, like number of stars or something,"
01:02;01:03;"use minus one."
01:03;01:05;"It doesn't exist, so minus one it is."
01:05;01:10;"We can also create default dictionaries"
01:10;01:13;"and then access them the simple,"
01:13;01:16;"the straightforward way, the bracket way."
01:16;01:19;"But if the value's missing, we get this function called,"
01:19;01:22;"it will create, in this case, just return missing."
01:22;01:25;"So year, 2001, rating, missing."
01:25;01:28;"But no crash, no cure, that's the big difference."
