Start Timestamp;End Timestamp;Transcript
00:00;00:04;"JSON is incredibly important as a data structure."
00:04;00:09;"It's usually the exchange format of modern HTTP APIs,"
00:09;00:11;"and even REST APIs,"
00:11;00:14;"but especially HTTP APIs in the broader sense."
00:14;00:18;"Very common file format for configuration and other things."
00:18;00:22;"They're basically isomorphic with dictionary."
00:22;00:24;"They can be exchanged one to the other,"
00:24;00:26;"except for things that can't be serialized into JSON,"
00:26;00:30;"like date, time, objects, and a running thread,"
00:30;00:32;"and other stuff like that."
00:32;00:37;"We're going to look at how we access JSON from files,"
00:37;00:38;"strings, and so on."
00:38;00:40;"Here we are with our data."
00:40;00:45;"Now, notice this is a multi-line string with the triple quotes."
00:45;00:46;"This is not a dictionary."
00:46;00:48;"See how it's all green, even that?"
00:48;00:50;"That's a string. Imagine this is a file."
00:50;00:54;"I just want to keep it super simple for us and so on."
00:54;00:57;"If we're going to get data from this,"
00:57;01:01;"I can't go to movie JSON and say, ""What's the year?"""
01:01;01:03;"Actually, let's make these lowercase here."
01:03;01:05;"Makes it feel a little more Python friendly,"
01:05;01:07;"but what is the title?"
01:07;01:09;"Let's print that bad boy out."
01:09;01:12;"Sure. Let's run that."
01:12;01:15;"Now, notice PyCharm is like,"
01:15;01:17;"""This is not going to work well."""
01:17;01:19;"But let's find out."
01:19;01:20;"Oh, you know what? They were right."
01:20;01:23;"It didn't work well. String must be integers."
01:23;01:24;"I see. This is not a dictionary."
01:24;01:27;"This is a string. It just looks like one."
01:27;01:31;"What we can do is we can say movie data equals."
01:31;01:34;"Now, PyCharm, don't get ahead of yourself."
01:34;01:35;"PyCharm is trying to write the code."
01:35;01:36;"We'll say import JSON."
01:36;01:38;"Now, this is built into Python."
01:38;01:40;"We don't need to use any external things for this."
01:40;01:44;"From this, we can just say JSON.load."
01:44;01:47;"Now, let me show you, you would do this for a file."
01:47;01:52;"I would say with open some file for reading."
01:52;01:58;"Maybe the encoding is UTF-8 as fin file input stream."
01:58;02:04;"Then I would say movie data equals JSON.load of fin."
02:04;02:08;"If it were a file, I'll just leave this here."
02:08;02:13;"If it were a file, but it's not."
02:13;02:16;"It's a string. It might be coming off the Internet,"
02:16;02:18;"out of memory, whatever, out of a database."
02:18;02:21;"We'll say load S. I hate the naming of this."
02:21;02:26;"Can it just be load string instead of load S versus load?"
02:26;02:32;"Should be like load stream, load from file, load string,"
02:32;02:33;"or whatever."
02:33;02:36;"They didn't ask me when they created Python."
02:36;02:38;"They just made it and then gave it to us."
02:38;02:39;"Thank you, people."
02:39;02:40;"All right, so we're going to give it"
