Start Timestamp;End Timestamp;Transcript
00:00;00:03;"All right, quick concept review on working with JSON and Python."
00:03;00:05;"It all starts with import JSON."
00:05;00:07;"This is built into the standard library."
00:07;00:08;"No dependencies."
00:08;00:10;"We've got some string."
00:10;00:11;"Notice the triple quotes."
00:11;00:15;"It looks like it's formatted like data, but it's actually a string."
00:15;00:19;"So we just say load S JSON dot load S give it the string."
00:19;00:24;"What we get back, assuming it's valid JSON that went in is we get a Python"
00:24;00:29;"dictionary that looks incredibly similar to that and the reverse."
00:29;00:31;"You already have a Python dictionary you got from somewhere."
00:31;00:33;"You want to turn it into something like this."
00:33;00:34;"JSON."
00:34;00:39;"Well, JSON dot dump S put in the movie data outcomes of string."
00:39;00:43;"Remember if you want it pretty printed, you just set the indent to two, four,"
00:43;00:45;"whatever, however many spaces you want it to indent to."
00:45;00:48;"And that tells it we want this thing formatted nicely."
00:48;00:50;"If not, it's kind of minified."
00:50;00:50;"Okay."
