Start Timestamp;End Timestamp;Transcript
00:00;00:07;"Let's look at the definition of the Python language, how Wikipedia describes it."
00:07;00:12;"Because in this chapter, we're going to talk about something that changes the definition"
00:12;00:18;"of what we thought of as Python and pushes it into a new space towards statically typed"
00:18;00:19;"languages."
00:19;00:21;"So there's plenty of questions."
00:21;00:23;"Should you use type hints?"
00:23;00:24;"What does that mean for Python?"
00:24;00:25;"Is it idiomatic?"
00:25;00:28;"The older Python code doesn't have type hints."
00:28;00:29;"The newer, may."
00:29;00:31;"And so what should you do?"
00:31;00:34;"Well, that's what this chapter is all about."
00:34;00:36;"Let's look at how Wikipedia describes Python."
00:36;00:43;"Zooming in here, you can see that Python is a dynamically typed in garbage collected language."
00:43;00:45;"That sounds like no types, right?"
00:45;00:46;"Just whatever you want to make it be."
00:46;00:47;"You want to change the type."
00:47;00:48;"It was a string."
00:48;00:49;"Now it's a customer."
00:49;00:50;"Woohoo."
00:50;00:51;"Whatever."
00:51;00:52;"It's dynamic."
00:52;00:53;"Let's just keep going."
00:53;00:58;"There are a lot of programming paradigms, including structured or procedural, object-oriented,"
00:58;01:03;"and functional programming modes or styles."
01:03;01:08;"Now if we look at that little sidebar, though, there was a section on typing."
01:08;01:09;"Check it out."
01:09;01:13;"Python is duck typed and dynamic, but also strong typing."
01:13;01:18;"And that strong typing is gradual, so you can apply it over time."
01:18;01:22;"But if you put your effort into putting that typing in there, it's just ignored by the"
01:22;01:23;"CPython runtime."
01:23;01:26;"Sometimes, sometimes it's ignored at runtime."
01:26;01:32;"It's ignored by CPython itself, but not the libraries that maybe are built on Python,"
01:32;01:37;"like PyDantic, which we've discussed, or FastAPI, which I'm sure you've heard of."
01:37;01:41;"Those use the type hints and type information we put in there."
01:41;01:43;"So sometimes it's ignored."
01:43;01:44;"Sometimes it isn't."
01:44;01:45;"Sometimes you use it."
01:45;01:46;"Sometimes you don't."
01:46;01:47;"That's what this chapter is all about."
