Start Timestamp;End Timestamp;Transcript
00:00;00:06;"Before we start using this type information to describe functions and classes and interchange of data"
00:06;00:12;"Let's just go through and talk about well. What are the main types that we're going to use in Python?"
00:12;00:17;"Now notice we're on to chapter 4 types in the core types file, okay?"
00:17;00:24;"Well, let's talk numbers first. We can have I which is 1 we can have F"
00:24;00:29;"Which is 2.1 7 something or other and in Python?"
00:29;00:36;"We even have complex numbers which could be you know if right so no we can't do it this way"
00:36;00:38;"We can't do it this way folks. I"
00:38;00:44;"Got to put some thoughts here because I is usually representing the imaginary part so there we go"
00:44;00:47;"We'll put it like that and we could just do fi I can live with that"
00:47;00:53;"Still a little bit weird, but let's print out these things I comma F. Comma C run that real quick"
00:53;00:54;"Just so you can see we got"
00:54;00:58;"You know there we got one this and then we've got our complex number"
00:59;01:07;"2.1 7 plus 1 J. I thought you you hurt my heart. I studied so much math complex"
01:07;01:14;"Math complex analysis was one of my favorites and of course there use the letter I for the imaginary part well because"
01:14;01:24;"Imaginary and the J comes more from physics. Oh a physicist. They've won this time those physicists anyway the imaginary part right there"
01:24;01:29;"Right, I don't know why J represents imaginary, but let's go so you can see these are the different types"
01:29;01:32;"In Python now if we're going to express their types"
01:32;01:39;"We're gonna say colon and whenever you want to say a type you say the variable colon the type"
01:39;01:46;"Some languages like C++ C sharp etc would say int I equals 1 no"
01:46;01:53;"What's more important? Well the variable thing is more important, and then this is extra information that goes on onto it like this"
01:53;01:56;"we have float and"
01:56;01:58;"We have well"
01:58;02:02;"You actually have to say the name there, so this is complex now one thing that's interesting"
02:02;02:06;"There's just worth pausing for a moment is sometimes. I might have a letter X"
02:06;02:09;"And I would like to sometimes"
02:09;02:14;"Set X equal to I other times. I might want to set X equal to F"
02:14;02:20;"There should be a way to say like you know what X is just like a number or something, but no"
02:20;02:23;"No, that's not how it works in Python"
02:23;02:27;"What would I put there if I would like to be able to say all of these things?"
02:27;02:29;"Let's just say I only want to be able to say these two things"
02:29;02:34;"Integer or float you may have seen that there's funky"
02:34;02:39;"Combinatorial ways we could do this we could say this is an int or float"
02:39;02:47;"We could also say it's a union of int comma float that would sort of the older style. It mean the same thing"
02:47;02:53;"But this is not what you need to do in Python. There's something called the numeric tower"
02:53;02:57;"So the way you express types that could be more than one of these numbers is"
02:57;03:00;"You just choose the most"
03:00;03:06;"Specialized I guess so if it could be an integer or a float what you would say here is float"
03:06;03:08;"I'll put it at the top. It would say"
03:08;03:13;"Float like that and now this is valid for both X's now. This is just saying it's unused. I'm sure"
03:13;03:19;"Redeclared so we're gonna just print out X a few times just so we can dismiss these warnings, okay?"
03:22;03:25;"But see I can assign it to the F and I can sign it if I sigh"
03:25;03:29;"Assign it to be int then all of a sudden no. No, it can't be a float"
03:29;03:31;"It only can be an integer, but the reverse"
03:31;03:36;"The floats include floats in integers"
03:36;03:41;"And if I wanted to be able to say it could be a complex or float or int I would put complex is less common"
03:41;03:47;"Because complexes are not used that often, but now it could be like so or"
03:50;03:52;"It could be any of these okay, I"
03:52;03:57;"Guess sees them the missing part here, right?"
03:57;04:02;"But there's no warnings to the numeric tower says complex specifies complex float integers"
04:02;04:05;"Float means floater integers and integer just means integer"
04:05;04:13;"You should not really ever be doing int pipe float pipe complex or union of int float complex none of that stuff"
04:13;04:17;"Not needed because they've already defined this hierarchy in Python"
04:17;04:19;"So I'll just put a note here"
04:20;04:24;"This leverages the numerical tower of Python typing you can just search"
04:24;04:31;"That maybe without the quotes and you'll get all the documentation for it, okay, so you can see all about it"
04:31;04:37;"I'm gonna put that down here for a minute and just more about the numbers"
04:37;04:45;"So we have more basic types we'd also have something like this which is a string"
04:45;04:48;"So in Python"
04:49;04:53;"Stir is the class and this is just the basic ones. It doesn't matter if it's"
04:53;04:58;"ABC with single quotes or double quotes Python doesn't care. They're all strings"
04:58;05:05;"You might think of other types like Python to use bytes a lot represented with a B. So bytes stir"
05:05;05:12;"String like this and for this one what we would say is this is just a byte"
05:12;05:18;"Equals that right? So this is a big distinction between Python 2 & 3 is that these are differences"
05:18;05:22;"So I could say TXT equals B. And what's it gonna say?"
05:22;05:28;"We expected a string you gave us bytes. And of course vice versa is also a warning"
05:28;05:31;"We could have something that's true or false"
05:31;05:34;"Call it truth"
05:34;05:36;"And we just express that as a bool"
05:36;05:40;"Which is let's call it true. Hope you're wrong that truth to be false, wouldn't it?"
05:40;05:42;"So these are the the core types here"
05:42;05:44;"We have object for object"
05:44;05:51;"The base class of an object and so on and if you want to express a type, but you don't know we can say"
05:51;05:54;"Typing there's an entire namespace called typing"
05:54;06:01;"I'm gonna port that and it's got optional dicks all sorts of complicated things, but any"
06:01;06:08;"Is just a way in Python typing to express we don't really want to give it a concrete type. It could just be anything"
06:08;06:13;"It's like void star and C++ or something along those lines like is you just it's anything"
06:13;06:17;"Right, but maybe sometimes you have to put a thing a type piece of information"
06:17;06:22;"But this is not super common. It's kind of a cop-out these these are common"
