Start Timestamp;End Timestamp;Transcript
00:00;00:03;"Python types are a little interesting."
00:03;00:08;"Many, many static languages assume that if you express a type,"
00:08;00:13;"like some class or a string or something along those lines,"
00:13;00:19;"it can either be the type it's described to be or it can be marked as not assigned or nothing."
00:19;00:22;"That shows up as null in a lot of languages,"
00:22;00:26;"capital N-U-L-L in C and C++,"
00:26;00:34;"lowercase N-U-L-L in JavaScript and C# and NIL and Swift, lots of them."
00:34;00:35;"But a lot of those languages,"
00:35;00:37;"putting Swift aside actually,"
00:37;00:39;"allow you to say like,"
00:39;00:43;"okay, we had our TXT which could be some string."
00:43;00:47;"Again, I'm just going to print these out a lot to get these silly warnings to go away."
00:47;00:50;"It's some string like this,"
00:50;00:52;"but if I said it's equal to none,"
00:52;00:55;"oh no, no, no, no."
00:55;00:58;"Python tries to be a little bit more expressive"
00:58;01:02;"and indicating when you need to worry about if it could be none."
01:02;01:04;"When you use the type system right, you'll know."
01:04;01:06;"So for example, right here it says,"
01:06;01:08;"expected a string and we got none."
01:08;01:10;"Well, string is like a pointer,"
01:10;01:12;"everything in Python is a pointer."
01:12;01:14;"It's like a pointer and this is like null,"
01:14;01:16;"so I expect I should be able to just set it to be,"
01:16;01:18;"look, it's not assigned right now."
01:18;01:20;"No, Python doesn't work that way."
01:20;01:23;"If you want to be able to work with a type and you can say,"
01:23;01:27;"it can be maybe unset in this none state"
01:27;01:30;"or it can have a value like some string,"
01:30;01:32;"you have to explicitly say that in the type."
01:32;01:35;"So let's go over here and say this is text two."
01:35;01:38;"Oh, maybe, text maybe, oh, maybe."
01:38;01:40;"Okay, what type?"
01:40;01:41;"Did we say string?"
01:41;01:46;"Well, we're going to get the same problem right here, okay?"
01:46;01:47;"Still can't be none."
01:47;01:50;"So what we need to do is we need to express whether,"
01:50;01:53;"we need to tell the type system that it can be string"
01:53;01:55;"or it can be not anything."
01:55;01:58;"So the way we do that, there's different points in time"
01:58;02:00;"have allowed us to do different ways"
02:00;02:02;"and I'm going to be a bit of a contrarian"
02:02;02:05;"and say this is the way of Michael."
02:05;02:07;"This is the way Michael likes to do this."
02:07;02:09;"Maybe you want to do it differently"
02:09;02:11;"because there's a more modern way,"
02:11;02:14;"but it's way less good in my opinion."
02:14;02:17;"Okay, so let's go over here and I'm going to say from typing,"
02:17;02:18;"just so it can be a little shorter,"
02:18;02:24;"import optional and I'm also going to import union."
02:24;02:26;"These are some of the ways in which we can express this."
02:26;02:29;"All right, so instead of saying it's a string,"
02:29;02:31;"which means it has to be a concrete string"
02:31;02:34;"and can never ever be none ever,"
02:34;02:35;"except for that the runtime ignores it"
02:35;02:39;"and there's no compiler really, not in the type sense."
02:39;02:42;"So it's not super concrete,"
02:42;02:43;"but if it's following the type system"
02:43;02:45;"and there are tools to measure this,"
02:45;02:47;"then you would never be able to set this to none."
02:47;02:49;"If you want to be able to set it to none"
02:49;02:50;"and then maybe set a string,"
02:50;02:54;"what we can do is we can say this is an optional bracket string."
02:54;02:58;"So it could be an optional int or an optional bool"
02:58;03:00;"or what it really is is an optional string."
03:00;03:02;"So now that makes sense, right?"
03:02;03:04;"Still valid. It's got a value now"
03:04;03:08;"and then later when we print it out here,"
03:08;03:10;"it doesn't have a value, but that's okay"
03:10;03:12;"because we said it can either be a string"
03:12;03:14;"or it can have no value."
03:14;03:16;"We run this just so you have the bottom,"
03:16;03:20;"some string and none exactly as you would expect."
03:20;03:22;"But if you get this wrong and you say this is a bool,"
03:22;03:24;"there'll be warnings, but it still runs."
03:24;03:27;"Okay, just that's the ignored part."
03:27;03:28;"It still runs in Python."
03:28;03:32;"Other things might not like it so much like fast API."
03:32;03:34;"Okay, so we have this ability"
03:34;03:37;"and not just an ability, a requirement to set these things"
03:37;03:40;"to be optional if they might be set to none"
03:40;03:42;"and that tells you whether or not you need to write code"
03:42;03:48;"like if TXT is none or is not none or something, right?"
03:48;03:49;"To check these things."
03:49;03:54;"Usually you can get away with just if TXT maybe like this,"
03:54;03:57;"but maybe empty is still counts as a valid value, right?"
03:57;03:59;"Then you want to check is none."
03:59;04:02;"Now I said I'm a little bit contrarian"
04:02;04:05;"as there are three ways to express this."
04:05;04:08;"TXT one is equal to union."
04:08;04:12;"This is maybe the most old-school or kind of on par."
04:12;04:14;"It's a generalization."
04:14;04:18;"If optional of str is a square,"
04:18;04:21;"union of what I'm about to show you is like a rectangle."
04:21;04:24;"Potentially with the right parameters and constraints,"
04:24;04:26;"it is also a square."
04:26;04:29;"So we could say it's a union which is like this or that."
04:29;04:36;"Could be that or none with colon."
04:36;04:38;"Style one and just for completeness,"
04:38;04:46;"I'll put style two here which is optional str."
04:46;04:49;"Michael's fav."
04:49;04:53;"Say why in a minute and we could do what's the newer,"
04:53;04:54;"the new hotness."
04:54;04:56;"This I think is Python 310."
04:56;05:01;"You can say if it's an or and you want to do a union,"
05:01;05:03;"we can come over here and use the or thing."
05:03;05:07;"So we can say it's a str pipe none."
05:07;05:11;"That means it's a string or it's none."
05:11;05:13;"This is style three, not my fav."
05:13;05:14;"Now if I were going to do a union,"
05:14;05:20;"like if I were going to say something was an integer"
05:20;05:25;"or a string right now is equal to one,"
05:25;05:28;"I would be all about this pipe as the union."
05:28;05:30;"I think that's great."
05:30;05:32;"But what I think if you put it like this"
05:32;05:34;"or it could be none pipe str,"
05:34;05:35;"you kind of got to parse it."
05:35;05:37;"You got to think, okay, well,"
05:37;05:38;"if it's this or that, what is it?"
05:38;05:41;"Okay, that means it could be set to a string"
05:41;05:43;"or it could be none."
05:43;05:47;"So really what it's saying is it is a string"
05:47;05:49;"that sometimes is not set."
05:49;05:53;"And to me, in my mind, this is saying it's a string"
05:53;05:55;"but it might not have a value."
05:55;05:57;"Whereas this is like, well, it could be this"
05:57;06:01;"or it could be an int or a str or a list."
06:01;06:02;"It could be three of those things."
06:02;06:03;"I don't know."
06:03;06:07;"So like this stuff I have to go and read and understand."
06:07;06:08;"I have to analyze it."
06:08;06:09;"Okay, if it's these three things"
06:09;06:11;"and then I take the intersection of their capabilities,"
06:11;06:13;"what does that mean I can do with it?"
06:13;06:15;"I kind of what I'm feeling here"
06:15;06:18;"where this explicitly says I'm trying to say it's a string"
06:18;06:19;"but it might not have a value."
06:19;06:21;"So you got to check it for none."
06:21;06:27;"To me, this is Michael's Pythonic way of using optional."
06:27;06:29;"You can use whatever you want."
06:29;06:30;"They all work."
06:30;06:32;"Okay, you can use whatever you want."
06:32;06:34;"But a specialization of this is not my favorite"
06:34;06:38;"because it doesn't speak exactly to the, it's this type,"
06:38;06:40;"but maybe it's not set."
06:40;06:43;"Anyway, optional typing, super duper important."
06:43;06:47;"If you have a function that returns an optional,"
06:47;06:48;"that means if you call that function"
06:48;06:51;"and you get a value, you need to check it for none."
06:51;06:53;"It could be set to be none."
06:53;06:56;"So if not thing, then deal with it not being there,"
06:56;06:58;"something along those lines, right?"
06:58;07:01;"That's what this optional is trying to communicate"
07:01;07:03;"and Python is extra strong in its type system."
07:03;07:05;"Whereas if you don't say it's optional,"
07:05;07:08;"it cannot be set to be none."
07:08;07:09;"Very interesting."
