Start Timestamp;End Timestamp;Transcript
00:00;00:03;"So if I've got a list, let's just say numbers,"
00:03;00:06;"this is going to be equal to just making numbers up."
00:06;00:07;"They don't mean anything."
00:07;00:10;"There we go."
00:10;00:11;"Oh, come on, PyCharm."
00:11;00:12;"Let's complete it."
00:12;00:13;"There we go."
00:13;00:15;"We have these numbers."
00:15;00:16;"What could I put here?"
00:16;00:17;"Let's just for a moment."
00:17;00:23;"And PyCharm probably is going to be too smart."
00:23;00:25;"Yes, it's telling me that it is an integer."
00:25;00:27;"It's integers or something like that."
00:27;00:30;"But let's not put anything in here for just a second."
00:30;00:31;"Okay."
00:31;00:32;"Suppose the values aren't there yet."
00:32;00:34;"So in dot, what can I do?"
00:34;00:37;"Here's a thing that we have no idea what it is."
00:37;00:41;"So from a type perspective, it assumes the intersection"
00:41;00:45;"of every single type in Python, which is basically the empty set."
00:45;00:47;"There's nothing we can do with this."
00:47;00:49;"Thanks for the help."
00:49;00:51;"Now I could come along here and say this is a list."
00:51;00:56;"Whether this is capital or lowercase is interesting."
00:56;00:56;"We'll come back to it."
00:56;00:58;"But it can be lowercase, just the regular list here."
00:58;01:02;"Now, if I go down here, I don't know."
01:02;01:02;"I don't know what I'm doing."
01:02;01:07;"But if I go to the numbers and hit dot, you can see it's got all the list features"
01:07;01:09;"like copy, sort, count, et cetera."
01:09;01:12;"But once we get to the items, again, it's like, I don't know what's in here."
01:12;01:16;"So what we need to do is we need to express kind of like optional."
01:16;01:21;"This is not just a list, but it's a list of homogeneous things,"
01:21;01:24;"all numbers, all strings, all user objects, whatever."
01:25;01:27;"And the way we do that was with brackets, just like with optional."
01:27;01:29;"So I could say list of integers."
01:29;01:33;"And so then when Python sees that we're looping over this, that's a list of integers."
01:33;01:35;"That must be an integer."
01:35;01:37;"So then I can say in dot, and boom, there's my integers."
01:37;01:45;"If I say this is a string, boom, string capabilities show up, right?"
01:46;01:56;"And if I were to do it like this, then Python's going to freak out and go,"
01:56;01:57;"oh, you said it's a list of strings."
01:57;01:59;"You're giving us a list of integers."
01:59;02:00;"And this is not good."
02:00;02:01;"This is not good."
02:01;02:03;"So I'll put that back to integers."
02:03;02:04;"All right."
02:04;02:10;"So if we see this, then we can go in here and we get help for that."
02:10;02:14;"So let's just print n times n."
02:14;02:18;"And we'll put the end to just be a comma so we can just print out the square."
02:18;02:21;"1, 1, 4, 9, 25, et cetera."
02:21;02:22;"Boom."
02:22;02:23;"Like that, right?"
02:23;02:25;"So that's fun."
02:25;02:28;"And I said this L, this can be lowercase or uppercase."
02:28;02:34;"There is a typing list."
02:34;02:36;"Now this is basically outdated."
02:36;02:37;"There's also a set."
02:37;02:39;"There's also a dict."
02:39;02:41;"None of those are needed anymore."
02:41;02:47;"In the early versions of typing, these classes could not describe types."
02:47;02:52;"And you would get an error saying something like the list class or type is not subscriptable."
02:52;02:55;"I can't remember exactly the error, but something like that."
02:55;03:01;"And so you would have to define it as typing list of int, even though it's assigned to be an integer."
03:01;03:01;"OK."
03:01;03:06;"This, however, was fixed because why do you want to keep importing this all over the place?"
03:06;03:07;"Can't you just say this?"
03:07;03:13;"So they fixed the typing system to let you use the built-in collection types to describe the type."
03:13;03:15;"That is the built-in collection type."
03:15;03:19;"Seems like it should have been there from the beginning, but start small and grow with it."
03:19;03:21;"Why am I telling you this?"
03:21;03:22;"Why does this matter?"
03:22;03:27;"If you run this, and this is 3, 9, 3, 10."
03:27;03:30;"At some point, this capability was added."
03:30;03:35;"And there are, at the moment, supported versions of Python where this code will fail."
03:35;03:39;"And it'll give you that error I described about the type not being subscriptable."
03:39;03:42;"I've gotten messages when I've done YouTube videos and stuff and comments like,"
03:42;03:46;"Michael, I don't know what you're doing, but you don't know how to write Python"
03:46;03:48;"because I tried to run this and it doesn't work."
03:48;03:52;"Well, what happened is they tried to run it on Python 3.8 where this feature didn't exist."
03:52;03:54;"And you may run into that too."
03:54;03:56;"So don't let it catch you up."
03:56;04:00;"If you can't use this version because you're using an older one, this is how you do it."
04:00;04:05;"But if you can avoid it, if you don't have to support that older version of Python,"
04:05;04:07;"this is definitely preferable."
04:07;04:09;"It limits the number of odd imports that are unrelated."
04:09;04:13;"Similarly, a couple of things we can do for collections while we're here."
04:13;04:15;"We might have a dictionary."
04:15;04:17;"We already talked about how important they are."
04:17;04:18;"I'll put name."
04:18;04:21;"And I'll put email."
04:21;04:26;"Now, notice that the keys here are strings."
04:26;04:30;"And the values themselves are strings."
04:30;04:34;"So the way we would set the type for this, let's just print it out again."
04:34;04:35;"So you're not using this."
04:35;04:36;"Stupid errors go away."
04:36;04:40;"And we won't shadow the built-in."
04:40;04:41;"All right, do this."
04:41;04:48;"If we want to express this type, we have to talk about, well, we say data bracket."
04:48;04:49;"Well, what goes in here?"
04:49;04:52;"What goes into that section?"
04:52;04:54;"Do I put a string like name?"
04:54;04:56;"Do I put a number like 72?"
04:56;04:57;"What goes in there?"
04:57;04:59;"Say this."
04:59;05:03;"It's going to let us write this code."
05:03;05:05;"This is going to-- there's no chance it will ever work."
05:05;05:11;"But if I go and express the type and say this is actually a dict of key type and value type,"
05:11;05:13;"all of a sudden it goes, oh, no, no."
05:13;05:16;"You're supposed to pass keys in here, which are strings."
05:16;05:17;"And you're passing a number."
05:17;05:20;"So let's do another one."
05:20;05:32;"We might have an int, where this will be low 10 and high 100."
05:32;05:36;"All right, so string keys, integer values."
05:36;05:38;"What this means is they have to be homogeneous."
05:38;05:41;"All the same keys, all the same value types."
05:41;05:41;"Yeah?"
05:41;05:43;"So let's go down here and put this as email."
05:43;05:46;"And we can just print out v."
05:46;05:54;"And let's do a print in front of it just to wrap that new line."
05:54;05:54;"There we go."
05:54;05:56;"Me@me.com."
05:56;05:56;"OK?"
