Start Timestamp;End Timestamp;Transcript
00:00;00:04;"Now let's look at functions and classes and how to use types there."
00:04;00:07;"Pretty straightforward, but there's some..."
00:07;00:10;"a couple of nuances that are really, really interesting here."
00:10;00:15;"So I'm going to start by defining a main that will only run when we import this function."
00:15;00:21;"I'm going to talk more about this later when we get to some other topics."
00:21;00:26;"But I've got a shortcut that will create this dunder name equals dunder main."
00:26;00:29;"Again, this is a whole other item in another chapter,"
00:29;00:32;"but it just means we're going to run a function called main up here."
00:32;00:35;"And that lets us define some functions."
00:35;00:40;"So what if I have a function that says say hello?"
00:40;00:43;"And it's just going to print ""Hello world, hooray!"""
00:43;00:45;"So let's say hello."
00:45;00:49;"If we'd run this... fantastic!"
00:49;00:53;"We're amazing programmers. We've written ""Hello world"" in a few keystrokes."
00:53;00:56;"So here's our ""Hello world."""
00:56;01:00;"And how do I know if it returns anything? Does it?"
01:00;01:05;"In other languages, we have void functions,"
01:05;01:07;"and we have things that return stuff."
01:07;01:09;"Python doesn't have that. You can see there's no return value,"
01:09;01:14;"but if I print out the value of say hello,"
01:14;01:16;"you can see none comes back."
01:16;01:22;"So if there's no return, what that means is there's an implicit return none."
01:22;01:24;"Every Python function is like this."
01:24;01:26;"They always return something."
01:26;01:29;"If you say nothing, that means it returns none."
01:29;01:35;"So let's suppose this is going to return something about how many characters were used."
01:35;01:40;"So we'll say this is a message here, and we'll return the length of message."
01:40;01:42;"So now it returns 12."
01:42;01:45;"How do we express that this is a number coming out of here?"
01:45;01:49;"So we've talked about types, but the return value,"
01:49;01:51;"just like the other type information, does not go at the front."
01:51;01:54;"In fact, it goes at the end."
01:54;01:58;"So we'll say it returns with this arrow, this dash, and then greater than,"
01:58;02:00;"and we'll say what type it is."
02:00;02:03;"An integer could be an optional int."
02:03;02:07;"Everything that we've talked about as a possible type could be put here at the end,"
02:07;02:11;"but then if I go over here and say dot, you can see I get integer stuff"
02:11;02:12;"because we said it returns integers."
02:12;02:18;"If I said it's a string, string stuff."
02:18;02:20;"We also might want to take some things."
02:20;02:26;"So maybe we want to take a name, and we'll say like this."
02:26;02:33;"We'll say if name, and then message is instead equal to hello there."
02:33;02:35;"I'm going to say the name."
02:35;02:38;"Notice when I wrote that out, it's like this."
02:38;02:40;"There's no F at the front in PyCharm."
02:40;02:45;"If we just accept one of the autocomplete options, it will write the F at the front."
02:45;02:47;"Thank you."
02:47;02:52;"Let's go over here and pass in none or something, and it will just do hello world,"
02:52;02:59;"but if I put my name, for example, and write hello there, Michael,"
02:59;03:04;"that's now 20 characters for our message that we printed out."
03:04;03:07;"We also want to have a type for this."
03:07;03:13;"Notice we could put in here, which is nothing, or we could put in a value."
03:13;03:18;"We're going to say it's probably a string, but it might or might not be passed in."
03:18;03:22;"I could say pipe none, but remember I hate that, so optional,"
03:22;03:29;"and then we're going to import that from typing up above and say it's an optional string."
03:29;03:36;"Right now I still have to explicitly say none when I run it for my name."
03:36;03:38;"It will accept it."
03:38;03:40;"If it wasn't optional, it would say I couldn't do this,"
03:40;03:42;"but I'd like to be able to just have nothing."
03:42;03:46;"Let's set a default value equals to be none."
03:46;03:53;"I can just call it say hello, and then let's just do my name."
03:53;03:57;"Hello world, 12. Hello there, Michael, 20."
03:57;03:59;"That's honestly pretty much it."
03:59;04:03;"Once you know the types and the optional and the way to combine them and the collections,"
04:03;04:08;"you just have your values here, and if you want, you can have a default value."
04:08;04:13;"It has to be consistent with the type, but you don't have to have a default value."
04:13;04:16;"It just makes the use case a little easier, and then for return values,"
04:16;04:18;"you always have a return value."
04:18;04:22;"It just might be that you say your return value is none."
04:22;04:25;"If they have no return, that's like a void function right there basically,"
04:25;04:27;"but that's not what it is."
04:27;04:31;"We're returning an integer, so we say int, just like that."
