Start Timestamp;End Timestamp;Transcript
00:00;00:05;"Okay, last thing in these down in the weeds coding demos"
00:05;00:06;"for types is classes."
00:06;00:09;"So what if I have a class over here"
00:09;00:12;"and I'm gonna have, let's go with a motorcycle example."
00:12;00:17;"And we can create some constructor here."
00:17;00:18;"I guess we don't really need a type,"
00:18;00:20;"but PyCharm's thinking we're all about types."
00:20;00:22;"It started putting types on everything."
00:22;00:27;"So we'll have engine size and we can accept the float"
00:27;00:30;"and let's say model, which is a string."
00:30;00:33;"And let's let PyCharm add that as a field"
00:33;00:35;"so I don't have to worry about it."
00:35;00:39;"Great, so we could go and create a motorcycle."
00:39;00:43;"And what goes in here, the string,"
00:43;00:45;"let's say there's a KTM Enduro,"
00:45;00:49;"which is gonna be a fun one and 690 for the engine size."
00:49;00:51;"Let's print out M."
00:53;00:56;"And let's just take a super quick,"
00:56;00:57;"super quick shortcut here."
00:57;01:02;"And we're gonna return the string of self.dunderdict."
01:02;01:08;"So we're just gonna print the raw dictionary."
01:08;01:10;"Now we can express that this returns a string."
01:10;01:12;"That's straightforward and let's run it."
01:12;01:14;"Yeah, it's not great,"
01:14;01:17;"but it's kind of like a JSONified version."
01:17;01:18;"Actually not terrible."
01:18;01:22;"So just like all the other things"
01:22;01:24;"that happen with functions, with classes,"
01:24;01:25;"they can have a type."
01:25;01:27;"You don't usually say the type of the self"
01:27;01:29;"as you'll see that's weird,"
01:29;01:32;"but you just set the types just like any other function."
01:32;01:34;"And same thing for the return values."
01:34;01:35;"But let's get a little bit weird."
01:35;01:37;"Let's suppose I would like to create"
01:37;01:41;"another motorcycle here."
01:41;01:43;"Let's say M2 equals,"
01:43;01:47;"maybe we want just some random sized motorcycle."
01:47;01:51;"So we'll just say create random."
01:51;01:53;"And this can be like a factory method."
01:53;01:55;"I know it's not that common in Python,"
01:55;01:58;"but static and class level functions certainly are."
01:58;02:02;"And we'll give it a name, Amazon bike."
02:02;02:04;"Just some random thing you bought on Amazon."
02:04;02:07;"And it's gonna return you one of these,"
02:07;02:11;"but you don't know what you're gonna get."
02:11;02:16;"So let's go down here and say,"
02:16;02:18;"well, we're gonna have this,"
02:18;02:22;"but what we want is actually a class method."
02:22;02:24;"And for that, we're gonna have the CLS,"
02:24;02:26;"which is the type motorcycle,"
02:26;02:29;"not actually an instance, the self."
02:29;02:32;"And we'll have, what is this model, which is a string."
02:32;02:35;"So let's just create some random engine size."
02:35;02:38;"Size equals rand int."
02:38;02:43;"Oh, that's a little small."
02:43;02:48;"I think maybe 50 up to 700."
02:48;02:49;"Let's say that these are decent."
02:49;02:53;"And then we'll just return motorcycle of model we passed in"
02:53;02:56;"and this new size we've created."
02:56;02:58;"There's no type, well, the model has a type,"
02:58;03:00;"but the return type doesn't have a type."
03:00;03:04;"Notice we've got an Amazon bike of 684,"
03:04;03:08;"and now it's 98, and now it's 552, okay?"
03:08;03:09;"Interesting."
03:09;03:11;"I wanna say what type this returns."
03:11;03:15;"Well, obviously, Michael, it returns a motorcycle, duh."
03:17;03:18;"Oh, what?"
03:18;03:22;"What do you mean motorcycle is not defined?"
03:22;03:23;"I mean, it is auto-completed, right?"
03:23;03:27;"Typed M, Enter, okay, Enter."
03:27;03:31;"And I'm in the motorcycle class."
03:31;03:35;"So let me give you a bit of red pill for how Python works"
03:35;03:37;"so you appreciate how this works,"
03:37;03:38;"and then we'll talk about it, okay?"
03:38;03:44;"Some languages have compilers that go through"
03:44;03:45;"and look at the types,"
03:45;03:48;"and they build this up piece by piece over time,"
03:48;03:51;"and they look at the type things and how they fit together,"
03:51;03:53;"and they say, okay, I see here using this,"
03:53;03:55;"and earlier I did a pass and I learned about,"
03:55;03:57;"there's a class called motorcycle,"
03:57;03:59;"so we're gonna put that here."
03:59;04:00;"This is not how Python works."
04:00;04:01;"When you do an import statement,"
04:01;04:05;"it literally runs every line of code here."
04:05;04:08;"So when this executes, what happens is it says,"
04:08;04:11;"begin creating a class called motorcycle, def int."
04:11;04:14;"Oh, we're gonna write a function called under init,"
04:14;04:16;"and then it's gonna look like this,"
04:16;04:17;"and then we're gonna add this line to it,"
04:17;04:19;"add that line to it, out of our block,"
04:19;04:23;"so we're creating a new function, execute, define,"
04:23;04:26;"new block, class method, okay, execute."
04:26;04:28;"Oh, there's something called motorcycle,"
04:28;04:29;"but remember, it's in the process"
04:29;04:31;"of creating the motorcycle type,"
04:31;04:35;"and so until line 38, motorcycle doesn't exist as a type."
04:35;04:38;"That's a problem with Python, I believe."
04:38;04:41;"There should be ways to do multi-pass parsing of these files"
04:41;04:42;"and understand this,"
