Start Timestamp;End Timestamp;Transcript
00:00;00:04;"Let's close out this chapter on typing with some typing patterns and typing guidance and"
00:04;00:08;"Iconic ways of using typing really"
00:08;00:11;"number one"
00:11;00:16;"Boundaries are important. So if I've I've got some application, let's say it's"
00:16;00:19;"20,000 lines of Python and I care about types"
00:19;00:26;"Should I go in there and add typing to every single variable I define should I add typing to every single function?"
00:26;00:32;"I would say no not at first at least maybe never because it does add that complexity"
00:32;00:34;"Juggling all the types and seeing all the symbols"
00:34;00:39;"but where you want to start at least put your most most your effort is"
00:39;00:44;"If I've got like a data layer section and if I call into here, we're calling into database queries"
00:44;00:49;"That part is kind of self-contained and used by a bunch of other parts in the application"
00:49;00:53;"And you like to think of it as a black box. Like there's the seven things I can do to get data"
00:53;00:55;"I don't care if it's a relational database"
00:56;01:02;"No, sequel database and API from some microservice. I don't care. I want I give you the data"
01:02;01:08;"I give you the parameters you give me the data and if you put types on those external those sort of boundary level functions"
01:08;01:14;"Whoever uses it throughout your program will be able to look at it and go. Oh"
01:14;01:18;"Awesome, and their editors will give them help and say you're using it wrong"
01:18;01:22;"Or this is what it expects or what it returns and it'll really be super helpful. So boundaries"
01:23;01:30;"Definitely definitely focus on the boundaries. Also if you're creating a public package something you're going to upload to pipey I and"
01:30;01:37;"Share with the world or maybe even share within your company again. It has those boundaries sort of as the public"
01:37;01:43;"Aspect the foot public API there might be internal functions. You may or may not care about typing there, but on the outside"
01:43;01:45;"You don't want it to look"
01:45;01:49;"Unprofessional and janky you're like hey, I made this it's beautiful, right? You're like, whoa"
01:49;01:52;"I'm not using that. No"
01:52;01:55;"You want to look pretty polished you wanted to look awesome"
01:55;02:02;"I present to you my package and if it has types on its public API of that package well"
02:02;02:06;"Editors will be able to just go boom. This is what you do. Here's what we expect"
02:06;02:12;"You might not even have to go to the documentation to see how to use parts of it because the typing will be so clear"
02:12;02:14;"Oh, I call this"
02:14;02:20;"Fine customer it takes a string named email and the thing that's returned is an optional customer. I see"
02:20;02:22;"Okay, it may or may not be there. So I got a chest yet"
02:22;02:28;"But otherwise, I know what type it is typing will tell you that and if you're creating a public package keep that in mind"
02:28;02:35;"Similarly I've said this many many times in this chapter the ability to power"
02:35;02:40;"Autocomplete keeps you out of the documentation keeps you on the right track keeps you in flow"
02:40;02:43;"You're not using an editor that has autocomplete"
02:43;02:46;"Please do but"
02:46;02:48;"typing information"
02:48;02:54;"Gives the editors way more information so they can tell you exactly what you need here. Not just"
02:54;03:02;"Hey, there's a Python object here or maybe it's a function. Hmm, maybe right now it really keeps you in the flow"
03:02;03:08;"So I think this is a super important aspect to consider as well and should you use optional or should you not use optional?"
03:08;03:11;"I'm a fan of optional when it's needed"
03:11;03:14;"If we write this code"
03:14;03:20;"Get user given an email it returns a user if there is a non zero"
03:20;03:24;"Possibility that an email could be given that doesn't match to a user"
03:24;03:30;"your only course of action will be for this function to raise an exception like user not found or"
03:30;03:33;"Something like that bad email. I don't know whatever"
03:33;03:40;"It's gonna have to raise an exception which means people consuming this get user must do it in a try/except block"
03:40;03:45;"And you're basically when you write code like this where users returned without optional"
03:45;03:52;"You are forcing all the clients that consume this function to be written with a bunch of try/except blocks"
03:52;03:57;"That may be the way you want to roll or it may not I find it adds a lot of friction"
03:57;04:01;"Unnecessarily to do it at really fine-grained levels like that, but"
04:01;04:03;"That's what you mean"
04:03;04:04;"If you write it like this"
04:04;04:10;"You can check is it none if it comes back none that means it wasn't found. Otherwise if it is there"
04:10;04:16;"Because it's optional if it is there then you've gotten the right user associated with the email and off you go"
04:16;04:20;"It doesn't mean you can just have no try/except in your program"
04:20;04:26;"You'll still need to try and accept but it can be on big blocks at high levels not step step step step step all along"
04:26;04:28;"The way okay, so optional or not really means"
04:29;04:35;"How do you want to force your users your consumers? I mean users developers who are consuming your code"
04:35;04:42;"To do so right with try/except blocks in a fine-grained levels or with if statements"
04:42;04:50;"And finally if this typing stuff is like, oh my gosh, it's so amazing. I can't believe I've been doing Python without it"
04:50;04:53;"We've got a whole long course with like 10 chapters"
04:53;05:00;"It goes way way deeper into this the tools how to test this and continuous integration and all kinds of amazing things"
05:00;05:05;"So check this out if you want to but not needed for this course, although it's a super fun topic"
05:05;05:07;"I think I think it's a really neat one"
05:07;05:12;"So if you want to go deeper check out our Python typing rocks old Python with type hints course"
